-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,C-CV,20.73,69.30
*1-2,Wait,0,0
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,2.815
0,0.00,2.815
1,5.00,2.830
3,5.00,2.832
5,5.00,2.837
7,5.00,2.837
9,5.00,2.844
11,5.00,2.845
13,5.00,2.845
15,5.00,2.850
17,5.00,2.852
19,5.00,2.852
21,5.00,2.852
23,5.00,2.858
25,5.00,2.859
27,5.00,2.859
29,5.00,2.863
31,5.00,2.866
33,5.00,2.866
35,5.00,2.866
37,5.00,2.870
39,5.00,2.873
41,5.00,2.874
43,5.00,2.874
45,5.00,2.877
47,5.00,2.880
49,5.00,2.881
51,5.00,2.881
53,5.00,2.881
55,5.00,2.887
57,5.00,2.888
59,5.00,2.888
61,5.00,2.888
63,5.00,2.891
65,5.00,2.895
67,5.00,2.896
69,5.00,2.896
71,5.00,2.896
73,5.00,2.898
75,5.00,2.902
77,5.00,2.903
79,5.00,2.903
81,5.00,2.903
83,5.00,2.906
85,5.00,2.909
87,5.00,2.910
89,5.00,2.910
91,5.00,2.910
93,5.00,2.910
95,5.00,2.916
97,5.00,2.917
99,5.00,2.917
101,5.00,2.917
103,5.00,2.917
105,5.00,2.923
107,5.00,2.924
109,5.00,2.925
111,5.00,2.925
113,5.00,2.925
115,5.00,2.925
117,5.00,2.931
119,5.00,2.931
121,5.00,2.932
123,5.00,2.932
125,5.00,2.932
127,5.00,2.933
129,5.00,2.938
131,5.00,2.939
133,5.00,2.939
135,5.00,2.939
137,5.00,2.939
139,5.00,2.939
141,5.00,2.945
143,5.00,2.946
145,5.00,2.947
147,5.00,2.947
149,5.00,2.947
151,5.00,2.947
153,5.00,2.951
155,5.00,2.953
157,5.00,2.954
159,5.00,2.954
161,5.00,2.954
163,5.00,2.954
165,5.00,2.955
167,5.00,2.960
169,5.00,2.960
171,5.00,2.961
173,5.00,2.961
175,5.00,2.961
177,5.00,2.961
179,5.00,2.964
181,5.00,2.968
183,5.00,2.968
185,5.00,2.968
187,5.00,2.968
189,5.00,2.968
191,5.00,2.968
193,5.00,2.969
195,5.00,2.974
197,5.00,2.975
199,5.00,2.976
201,5.00,2.976
203,5.00,2.976
205,5.00,2.976
207,5.00,2.977
209,5.00,2.982
211,5.00,2.982
213,5.00,2.982
215,5.00,2.983
217,5.00,2.983
219,5.00,2.983
221,5.00,2.983
223,5.00,2.987
225,5.00,2.989
227,5.00,2.989
229,5.00,2.989
231,5.00,2.990
233,5.00,2.990
235,5.00,2.990
237,5.00,2.990
239,5.00,2.995
241,5.00,2.997
243,5.00,2.997
245,5.00,2.998
247,5.00,2.998
249,5.00,2.998
251,5.00,2.998
253,5.00,2.998
255,5.00,3.000
257,5.00,3.004
259,5.00,3.004
261,5.00,3.005
263,5.00,3.005
265,5.00,3.005
267,5.00,3.005
269,5.00,3.005
271,5.00,3.008
273,5.00,3.011
275,5.00,3.011
277,5.00,3.012
279,5.00,3.012
281,5.00,3.012
283,5.00,3.012
285,5.00,3.012
287,5.00,3.012
289,5.00,3.016
291,5.00,3.019
293,5.00,3.019
295,5.00,3.020
297,5.00,3.020
299,5.00,3.020
301,5.00,3.020
303,5.00,3.020
305,5.00,3.020
307,5.00,3.025
309,5.00,3.026
311,5.00,3.026
313,5.00,3.027
315,5.00,3.027
317,5.00,3.027
319,5.00,3.027
321,5.00,3.027
323,5.00,3.027
325,5.00,3.028
327,5.00,3.031
329,5.00,3.033
331,5.00,3.034
333,5.00,3.034
335,5.00,3.034
337,5.00,3.034
339,5.00,3.034
341,5.00,3.034
343,5.00,3.037
345,5.00,3.040
347,5.00,3.040
349,5.00,3.040
351,5.00,3.041
353,5.00,3.041
355,5.00,3.041
357,5.00,3.041
359,5.00,3.041
361,5.00,3.041
363,5.00,3.043
365,5.00,3.047
367,5.00,3.048
369,5.00,3.048
371,5.00,3.049
373,5.00,3.049
375,5.00,3.049
377,5.00,3.049
379,5.00,3.049
381,5.00,3.049
383,5.00,3.050
385,5.00,3.054
387,5.00,3.055
389,5.00,3.055
391,5.00,3.056
393,5.00,3.056
395,5.00,3.056
397,5.00,3.056
399,5.00,3.056
401,5.00,3.056
403,5.00,3.056
405,5.00,3.058
407,5.00,3.061
409,5.00,3.062
411,5.00,3.063
413,5.00,3.063
415,5.00,3.063
417,5.00,3.063
419,5.00,3.063
421,5.00,3.063
423,5.00,3.063
425,5.00,3.064
427,5.00,3.067
429,5.00,3.070
431,5.00,3.070
433,5.00,3.070
435,5.00,3.071
437,5.00,3.071
439,5.00,3.071
441,5.00,3.071
443,5.00,3.071
445,5.00,3.071
447,5.00,3.071
449,5.00,3.072
451,5.00,3.076
453,5.00,3.077
455,5.00,3.077
457,5.00,3.078
459,5.00,3.078
461,5.00,3.078
463,5.00,3.078
465,5.00,3.078
467,5.00,3.078
469,5.00,3.078
471,5.00,3.078
473,5.00,3.081
475,5.00,3.084
477,5.00,3.084
479,5.00,3.084
481,5.00,3.085
483,5.00,3.085
485,5.00,3.085
487,5.00,3.085
489,5.00,3.085
491,5.00,3.085
493,5.00,3.085
495,5.00,3.085
497,5.00,3.086
499,5.00,3.089
501,5.00,3.091
503,5.00,3.091
505,5.00,3.091
507,5.00,3.091
509,5.00,3.092
511,5.00,3.092
513,5.00,3.092
515,5.00,3.092
517,5.00,3.092
519,5.00,3.092
521,5.00,3.093
523,5.00,3.097
525,5.00,3.099
527,5.00,3.099
529,5.00,3.099
531,5.00,3.100
533,5.00,3.100
535,5.00,3.100
537,5.00,3.100
539,5.00,3.100
541,5.00,3.100
543,5.00,3.100
545,5.00,3.100
547,5.00,3.101
549,5.00,3.103
551,5.00,3.106
553,5.00,3.106
555,5.00,3.106
557,5.00,3.106
559,5.00,3.107
561,5.00,3.107
563,5.00,3.107
565,5.00,3.107
567,5.00,3.107
569,5.00,3.107
571,5.00,3.107
573,5.00,3.108
575,5.00,3.111
577,5.00,3.113
579,5.00,3.113
581,5.00,3.113
583,5.00,3.113
585,5.00,3.114
587,5.00,3.114
589,5.00,3.114
591,5.00,3.114
593,5.00,3.114
595,5.00,3.114
597,5.00,3.114
599,5.00,3.114
601,5.00,3.114
603,5.00,3.117
605,5.00,3.120
607,5.00,3.121
609,5.00,3.121
611,5.00,3.121
613,5.00,3.121
615,5.00,3.122
617,5.00,3.122
619,5.00,3.122
621,5.00,3.122
623,5.00,3.122
625,5.00,3.122
627,5.00,3.122
629,5.00,3.122
631,5.00,3.124
633,5.00,3.127
635,5.00,3.128
637,5.00,3.128
639,5.00,3.128
641,5.00,3.128
643,5.00,3.129
645,5.00,3.129
647,5.00,3.129
649,5.00,3.129
651,5.00,3.129
653,5.00,3.129
655,5.00,3.129
657,5.00,3.129
659,5.00,3.129
661,5.00,3.131
663,5.00,3.133
665,5.00,3.135
667,5.00,3.135
669,5.00,3.135
671,5.00,3.135
673,5.00,3.136
675,5.00,3.136
677,5.00,3.136
679,5.00,3.136
681,5.00,3.136
683,5.00,3.136
685,5.00,3.136
687,5.00,3.136
689,5.00,3.136
691,5.00,3.137
693,5.00,3.140
695,5.00,3.142
697,5.00,3.143
699,5.00,3.143
701,5.00,3.143
703,5.00,3.143
705,5.00,3.143
707,5.00,3.143
709,5.00,3.143
711,5.00,3.143
713,5.00,3.143
715,5.00,3.143
717,5.00,3.143
719,5.00,3.143
721,5.00,3.143
723,5.00,3.143
725,5.00,3.143
727,5.00,3.144
729,5.00,3.147
731,5.00,3.150
733,5.00,3.150
735,5.00,3.150
737,5.00,3.150
739,5.00,3.151
741,5.00,3.151
743,5.00,3.151
745,5.00,3.151
747,5.00,3.151
749,5.00,3.151
751,5.00,3.151
753,5.00,3.151
755,5.00,3.151
757,5.00,3.153
759,5.00,3.155
761,5.00,3.157
763,5.00,3.157
765,5.00,3.157
767,5.00,3.157
769,5.00,3.157
771,5.00,3.158
773,5.00,3.158
775,5.00,3.158
777,5.00,3.158
779,5.00,3.158
781,5.00,3.158
783,5.00,3.158
785,5.00,3.158
787,5.00,3.158
789,5.00,3.158
791,5.00,3.159
793,5.00,3.161
795,5.00,3.163
797,5.00,3.164
799,5.00,3.164
801,5.00,3.164
803,5.00,3.164
805,5.00,3.165
807,5.00,3.165
809,5.00,3.165
811,5.00,3.165
813,5.00,3.165
815,5.00,3.165
817,5.00,3.165
819,5.00,3.165
821,5.00,3.165
823,5.00,3.165
825,5.00,3.165
827,5.00,3.167
829,5.00,3.169
831,5.00,3.171
833,5.00,3.172
835,5.00,3.172
837,5.00,3.172
839,5.00,3.172
841,5.00,3.173
843,5.00,3.173
845,5.00,3.173
847,5.00,3.173
849,5.00,3.173
851,5.00,3.173
853,5.00,3.173
855,5.00,3.173
857,5.00,3.173
859,5.00,3.173
861,5.00,3.173
863,5.00,3.173
865,5.00,3.173
867,5.00,3.174
869,5.00,3.177
871,5.00,3.179
873,5.00,3.179
875,5.00,3.179
877,5.00,3.179
879,5.00,3.179
881,5.00,3.180
883,5.00,3.180
885,5.00,3.180
887,5.00,3.180
889,5.00,3.180
891,5.00,3.180
893,5.00,3.180
895,5.00,3.180
897,5.00,3.180
899,5.00,3.180
901,5.00,3.180
903,5.00,3.181
905,5.00,3.183
907,5.00,3.185
909,5.00,3.186
911,5.00,3.186
913,5.00,3.186
915,5.00,3.186
917,5.00,3.186
919,5.00,3.186
921,5.00,3.187
923,5.00,3.187
925,5.00,3.187
927,5.00,3.187
929,5.00,3.187
931,5.00,3.187
933,5.00,3.187
935,5.00,3.187
937,5.00,3.187
939,5.00,3.187
941,5.00,3.187
943,5.00,3.187
945,5.00,3.189
947,5.00,3.191
949,5.00,3.193
951,5.00,3.194
953,5.00,3.194
955,5.00,3.194
957,5.00,3.194
959,5.00,3.194
961,5.00,3.194
963,5.00,3.194
965,5.00,3.194
967,5.00,3.194
969,5.00,3.194
971,5.00,3.194
973,5.00,3.194
975,5.00,3.194
977,5.00,3.194
979,5.00,3.194
981,5.00,3.194
983,5.00,3.194
985,5.00,3.194
987,5.00,3.195
989,5.00,3.198
991,5.00,3.200
993,5.00,3.201
995,5.00,3.201
997,5.00,3.201
999,5.00,3.201
1001,5.00,3.201
1003,5.00,3.202
1005,5.00,3.202
1007,5.00,3.202
1009,5.00,3.202
1011,5.00,3.202
1013,5.00,3.202
1015,5.00,3.202
1017,5.00,3.202
1019,5.00,3.202
1021,5.00,3.202
1023,5.00,3.202
1025,5.00,3.202
1027,5.00,3.202
1029,5.00,3.202
1031,5.00,3.202
1033,5.00,3.203
1035,5.00,3.204
1037,5.00,3.205
1039,5.00,3.207
1041,5.00,3.208
1043,5.00,3.208
1045,5.00,3.208
1047,5.00,3.208
1049,5.00,3.209
1051,5.00,3.209
1053,5.00,3.209
1055,5.00,3.209
1057,5.00,3.209
1059,5.00,3.209
1061,5.00,3.209
1063,5.00,3.209
1065,5.00,3.209
1067,5.00,3.209
1069,5.00,3.209
1071,5.00,3.209
1073,5.00,3.209
1075,5.00,3.209
1077,5.00,3.210
1079,5.00,3.212
1081,5.00,3.214
1083,5.00,3.215
1085,5.00,3.215
1087,5.00,3.215
1089,5.00,3.215
1091,5.00,3.215
1093,5.00,3.215
1095,5.00,3.216
1097,5.00,3.216
1099,5.00,3.216
1101,5.00,3.216
1103,5.00,3.216
1105,5.00,3.216
1107,5.00,3.216
1109,5.00,3.216
1111,5.00,3.216
1113,5.00,3.216
1115,5.00,3.216
1117,5.00,3.216
1119,5.00,3.216
1121,5.00,3.216
1123,5.00,3.216
1125,5.00,3.216
1127,5.00,3.217
1129,5.00,3.219
1131,5.00,3.220
1133,5.00,3.222
1135,5.00,3.223
1137,5.00,3.223
1139,5.00,3.223
1141,5.00,3.223
1143,5.00,3.223
1145,5.00,3.223
1147,5.00,3.223
1149,5.00,3.224
1151,5.00,3.224
1153,5.00,3.224
1155,5.00,3.224
1157,5.00,3.224
1159,5.00,3.224
1161,5.00,3.224
1163,5.00,3.224
1165,5.00,3.224
1167,5.00,3.224
1169,5.00,3.224
1171,5.00,3.224
1173,5.00,3.224
1175,5.00,3.224
1177,5.00,3.224
1179,5.00,3.224
1181,5.00,3.225
1183,5.00,3.226
1185,5.00,3.228
1187,5.00,3.229
1189,5.00,3.230
1191,5.00,3.230
1193,5.00,3.230
1195,5.00,3.230
1197,5.00,3.230
1199,5.00,3.230
1201,5.00,3.230
1203,5.00,3.230
1205,5.00,3.231
1207,5.00,3.231
1209,5.00,3.231
1211,5.00,3.231
1213,5.00,3.231
1215,5.00,3.231
1217,5.00,3.231
1219,5.00,3.231
1221,5.00,3.231
1223,5.00,3.231
1225,5.00,3.231
1227,5.00,3.231
1229,5.00,3.231
1231,5.00,3.231
1233,5.00,3.231
1235,5.00,3.231
1237,5.00,3.231
1239,5.00,3.231
1241,5.00,3.231
1243,5.00,3.231
1245,5.00,3.231
1247,5.00,3.232
1249,5.00,3.233
1251,5.00,3.234
1253,5.00,3.235
1255,5.00,3.236
1257,5.00,3.237
1259,5.00,3.237
1261,5.00,3.237
1263,5.00,3.237
1265,5.00,3.237
1267,5.00,3.237
1269,5.00,3.237
