-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,C-CV,0.067,0.244
*1-2,Wait,0,0
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,3.441
0,0.00,3.442
1,5.00,3.464
3,5.00,3.478
5,5.00,3.486
7,5.00,3.496
9,5.00,3.508
11,5.00,3.522
13,5.00,3.530
15,5.00,3.544
17,5.00,3.557
19,5.00,3.566
21,5.00,3.581
23,5.00,3.595
25,5.00,3.610
27,5.00,3.631
29,5.00,3.650
31,2.83,3.650
33,1.28,3.650
35,1.51,3.650
37,1.33,3.650
39,1.21,3.650
41,1.08,3.650
43,1.00,3.650
45,0.95,3.650
47,0.87,3.650
49,0.83,3.650
51,0.78,3.650
53,0.74,3.650
55,0.70,3.650
57,0.66,3.650
59,0.63,3.650
61,0.62,3.650
63,0.58,3.650
65,0.56,3.650
67,0.53,3.650
69,0.53,3.650
71,0.49,3.650
73,0.48,3.650
75,0.45,3.650
77,0.45,3.650
79,0.45,3.650
81,0.43,3.650
83,0.41,3.650
85,0.41,3.650
87,0.41,3.650
89,0.37,3.650
91,0.37,3.650
93,0.36,3.650
95,0.35,3.650
97,0.35,3.650
99,0.33,3.650
101,0.32,3.650
103,0.33,3.650
105,0.32,3.650
107,0.32,3.650
109,0.32,3.650
111,0.31,3.650
113,0.30,3.650
115,0.28,3.650
117,0.28,3.650
119,0.28,3.650
121,0.27,3.650
123,0.24,3.650
125,0.27,3.650
127,0.25,3.650
129,0.25,3.650
131,0.24,3.650
133,0.24,3.650
135,0.24,3.650
137,0.24,3.650
139,0.23,3.650
141,0.22,3.650
143,0.23,3.650
145,0.23,3.650
147,0.22,3.650
149,0.21,3.650
151,0.21,3.650
153,0.20,3.650
155,0.20,3.650
157,0.21,3.650
159,0.21,3.650
161,0.20,3.650
163,0.20,3.650
165,0.20,3.650
167,0.20,3.650
169,0.20,3.650
171,0.19,3.650
173,0.19,3.650
175,0.19,3.650
177,0.20,3.650
179,0.17,3.650
181,0.18,3.650
183,0.16,3.650
185,0.17,3.650
187,0.19,3.650
189,0.17,3.650
191,0.16,3.650
193,0.15,3.650
195,0.15,3.650
197,0.15,3.650
199,0.17,3.650
201,0.15,3.650
203,0.15,3.650
205,0.15,3.650
207,0.15,3.650
209,0.15,3.650
211,0.15,3.650
213,0.15,3.650
215,0.15,3.650
217,0.15,3.650
219,0.15,3.650
221,0.15,3.650
223,0.15,3.650
225,0.15,3.650
227,0.15,3.650
229,0.15,3.650
231,0.15,3.650
233,0.13,3.650
235,0.15,3.650
237,0.13,3.650
239,0.15,3.650
241,0.12,3.650
243,0.12,3.650
245,0.14,3.650
247,0.14,3.650
249,0.15,3.650
251,0.12,3.650
253,0.14,3.650
255,0.12,3.650
257,0.13,3.650
259,0.15,3.650
261,0.11,3.650
263,0.15,3.650
265,0.12,3.650
267,0.12,3.650
269,0.12,3.650
271,0.11,3.650
273,0.11,3.650
275,0.11,3.650
277,0.12,3.650
279,0.11,3.650
281,0.11,3.650
283,0.11,3.650
285,0.11,3.650
287,0.11,3.650
289,0.11,3.650
291,0.11,3.650
293,0.11,3.650
295,0.11,3.650
297,0.11,3.650
299,0.11,3.650
301,0.11,3.650
303,0.11,3.650
305,0.11,3.650
307,0.11,3.650
309,0.11,3.650
311,0.11,3.650
312,0.10,3.650
313,0.10,3.650
314,0.00,3.650
316,0.00,3.650
318,0.00,3.650
320,0.00,3.650
322,0.00,3.650
324,0.00,3.650
326,0.00,3.650
328,0.00,3.650
330,0.00,3.650
332,0.00,3.650
334,0.00,3.642
336,0.00,3.640
338,0.00,3.639
340,0.00,3.639
342,0.00,3.639
344,0.00,3.639
346,0.00,3.639
348,0.00,3.639
350,0.00,3.639
352,0.00,3.639
354,0.00,3.639
356,0.00,3.639
358,0.00,3.639
360,0.00,3.639
362,0.00,3.638
364,0.00,3.638
366,0.00,3.638
368,0.00,3.638
370,0.00,3.638
372,0.00,3.638
374,0.00,3.637
376,0.00,3.635
378,0.00,3.634
380,0.00,3.632
382,0.00,3.632
384,0.00,3.632
386,0.00,3.632
388,0.00,3.632
390,0.00,3.632
392,0.00,3.632
394,0.00,3.632
396,0.00,3.632
398,0.00,3.632
400,0.00,3.632
402,0.00,3.632
404,0.00,3.632
406,0.00,3.632
408,0.00,3.631
410,0.00,3.631
412,0.00,3.631
414,0.00,3.631
416,0.00,3.631
418,0.00,3.631
420,0.00,3.630
422,0.00,3.630
424,0.00,3.628
426,0.00,3.626
428,0.00,3.625
430,0.00,3.625
432,0.00,3.625
434,0.00,3.625
436,0.00,3.625
438,0.00,3.625
440,0.00,3.625
442,0.00,3.625
444,0.00,3.625
446,0.00,3.625
448,0.00,3.625
450,0.00,3.625
452,0.00,3.625
454,0.00,3.625
456,0.00,3.625
458,0.00,3.625
460,0.00,3.625
462,0.00,3.625
464,0.00,3.625
466,0.00,3.624
468,0.00,3.624
470,0.00,3.624
472,0.00,3.624
474,0.00,3.624
476,0.00,3.624
478,0.00,3.624
480,0.00,3.624
482,0.00,3.624
484,0.00,3.624
486,0.00,3.623
488,0.00,3.622
490,0.00,3.622
492,0.00,3.620
494,0.00,3.619
496,0.00,3.618
498,0.00,3.617
500,0.00,3.617
502,0.00,3.617
504,0.00,3.617
506,0.00,3.617
508,0.00,3.617
510,0.00,3.617
512,0.00,3.617
514,0.00,3.617
516,0.00,3.617
518,0.00,3.617
520,0.00,3.617
522,0.00,3.617
524,0.00,3.617
526,0.00,3.617
528,0.00,3.617
530,0.00,3.617
532,0.00,3.617
534,0.00,3.617
536,0.00,3.616
538,0.00,3.616
540,0.00,3.616
542,0.00,3.616
544,0.00,3.616
546,0.00,3.616
548,0.00,3.616
550,0.00,3.616
552,0.00,3.616
554,0.00,3.615
556,0.00,3.615
558,0.00,3.614
560,0.00,3.613
562,0.00,3.612
564,0.00,3.611
566,0.00,3.610
568,0.00,3.610
570,0.00,3.610
572,0.00,3.610
574,0.00,3.610
576,0.00,3.610
578,0.00,3.610
580,0.00,3.610
582,0.00,3.610
584,0.00,3.610
586,0.00,3.610
588,0.00,3.610
590,0.00,3.610
592,0.00,3.610
594,0.00,3.610
596,0.00,3.610
598,0.00,3.610
600,0.00,3.610
602,0.00,3.610
604,0.00,3.610
606,0.00,3.610
608,0.00,3.610
610,0.00,3.610
612,0.00,3.610
614,0.00,3.610
616,0.00,3.610
618,0.00,3.610
620,0.00,3.610
622,0.00,3.610
624,0.00,3.610
626,0.00,3.610
628,0.00,3.610
630,0.00,3.610
632,0.00,3.610
634,0.00,3.610
636,0.00,3.610
638,0.00,3.610
640,0.00,3.610
642,0.00,3.610
644,0.00,3.610
646,0.00,3.609
648,0.00,3.609
650,0.00,3.609
652,0.00,3.609
654,0.00,3.609
656,0.00,3.609
658,0.00,3.609
660,0.00,3.609
662,0.00,3.609
664,0.00,3.609
666,0.00,3.609
668,0.00,3.609
670,0.00,3.609
672,0.00,3.609
674,0.00,3.609
676,0.00,3.609
678,0.00,3.608
680,0.00,3.608
682,0.00,3.607
684,0.00,3.606
686,0.00,3.606
688,0.00,3.605
690,0.00,3.605
692,0.00,3.604
694,0.00,3.604
696,0.00,3.604
698,0.00,3.603
700,0.00,3.603
