-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,D-CC,2.196,7.146
*1-2,Wait,0,0
*1-3,D-CC,0.163,0.531
*1-4,Wait,0,0
*2-1,D-CC,2.197,7.089
*2-2,Wait,0,0
*2-3,D-CC,0.163,0.529
*2-4,Wait,0,0
*3-1,D-CC,2.198,7.074
*3-2,Wait,0,0
*3-3,D-CC,0.165,0.534
*3-4,Wait,0,0
*4-1,D-CC,2.195,7.044
*4-2,Wait,0,0
*4-3,D-CC,0.164,0.531
*4-4,Wait,0,0
*5-1,D-CC,2.198,7.025
*5-2,Wait,0,0
*5-3,D-CC,0.163,0.524
*5-4,Wait,0,0
*6-1,D-CC,2.197,6.973
*6-2,Wait,0,0
*6-3,D-CC,0.000,0.000
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,3.560
0,0.00,3.561
1,11.00,3.494
3,11.00,3.456
5,11.00,3.434
7,11.00,3.413
9,11.00,3.401
11,11.00,3.391
13,11.00,3.384
15,11.00,3.377
17,11.00,3.369
19,11.00,3.363
21,11.00,3.361
23,11.00,3.355
25,11.00,3.348
27,11.00,3.347
29,11.00,3.340
31,11.00,3.339
33,11.00,3.333
35,11.00,3.332
37,11.00,3.326
39,11.00,3.325
41,11.00,3.318
43,11.00,3.317
45,11.00,3.315
47,11.00,3.311
49,11.00,3.310
51,11.00,3.305
53,11.00,3.304
55,11.00,3.303
57,11.00,3.297
59,11.00,3.297
61,11.00,3.296
63,11.00,3.290
65,11.00,3.289
67,11.00,3.288
69,11.00,3.286
71,11.00,3.282
73,11.00,3.282
75,11.00,3.281
77,11.00,3.278
79,11.00,3.275
81,11.00,3.275
83,11.00,3.274
85,11.00,3.274
87,11.00,3.270
89,11.00,3.267
91,11.00,3.267
93,11.00,3.266
95,11.00,3.264
97,11.00,3.261
99,11.00,3.260
101,11.00,3.260
103,11.00,3.260
105,11.00,3.260
107,11.00,3.259
109,11.00,3.259
111,11.00,3.258
113,11.00,3.256
115,11.00,3.255
117,11.00,3.253
119,11.00,3.253
121,11.00,3.253
123,11.00,3.253
125,11.00,3.253
127,11.00,3.253
129,11.00,3.252
131,11.00,3.252
133,11.00,3.252
135,11.00,3.251
137,11.00,3.250
139,11.00,3.249
141,11.00,3.248
143,11.00,3.247
145,11.00,3.246
147,11.00,3.246
149,11.00,3.245
151,11.00,3.245
153,11.00,3.245
155,11.00,3.245
157,11.00,3.245
159,11.00,3.245
161,11.00,3.245
163,11.00,3.245
165,11.00,3.245
167,11.00,3.245
169,11.00,3.245
171,11.00,3.245
173,11.00,3.245
175,11.00,3.245
177,11.00,3.245
179,11.00,3.245
181,11.00,3.245
183,11.00,3.245
185,11.00,3.245
187,11.00,3.245
189,11.00,3.245
191,11.00,3.245
193,11.00,3.245
195,11.00,3.245
197,11.00,3.245
199,11.00,3.245
201,11.00,3.245
203,11.00,3.245
205,11.00,3.245
207,11.00,3.245
209,11.00,3.245
211,11.00,3.245
213,11.00,3.245
215,11.00,3.245
217,11.00,3.245
219,11.00,3.245
221,11.00,3.245
223,11.00,3.245
225,11.00,3.245
227,11.00,3.245
229,11.00,3.245
231,11.00,3.245
233,11.00,3.245
235,11.00,3.245
237,11.00,3.245
239,11.00,3.245
241,11.00,3.245
243,11.00,3.245
245,11.00,3.245
247,11.00,3.245
249,11.00,3.245
251,11.00,3.245
253,11.00,3.245
255,11.00,3.245
257,11.00,3.245
259,11.00,3.245
261,11.00,3.245
263,11.00,3.245
265,11.00,3.245
267,11.00,3.245
269,11.00,3.245
271,11.00,3.245
273,11.00,3.245
275,11.00,3.245
277,11.00,3.244
279,11.00,3.244
281,11.00,3.244
283,11.00,3.244
285,11.00,3.244
287,11.00,3.244
289,11.00,3.244
291,11.00,3.244
293,11.00,3.244
295,11.00,3.244
297,11.00,3.244
299,11.00,3.243
301,11.00,3.243
303,11.00,3.243
305,11.00,3.243
307,11.00,3.243
309,11.00,3.243
311,11.00,3.243
313,11.00,3.243
315,11.00,3.243
317,11.00,3.243
319,11.00,3.243
321,11.00,3.243
323,11.00,3.242
325,11.00,3.242
327,11.00,3.242
329,11.00,3.242
331,11.00,3.242
333,11.00,3.242
335,11.00,3.242
337,11.00,3.242
339,11.00,3.242
341,11.00,3.242
343,11.00,3.241
345,11.00,3.241
347,11.00,3.242
349,11.00,3.241
351,11.00,3.241
353,11.00,3.241
355,11.00,3.241
357,11.00,3.241
359,11.00,3.241
361,11.00,3.241
363,11.00,3.241
365,11.00,3.241
367,11.00,3.241
369,11.00,3.241
371,11.00,3.241
373,11.00,3.241
375,11.00,3.241
377,11.00,3.241
379,11.00,3.240
381,11.00,3.240
383,11.00,3.240
385,11.00,3.240
387,11.00,3.240
389,11.00,3.240
391,11.00,3.240
393,11.00,3.240
395,11.00,3.240
397,11.00,3.240
