-----------EB Tester Software-----------
Device:EBC-A40L
Mode:D-CC  11.00A  2.50V
Begin Volt:2.976V
Cutoff Volt:2.500V
Capacity:624mAh
Energy:1722mWh
Avg Volt:2.76V
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,3.242
0,0.00,3.242
1,10.00,3.209
3,10.00,3.205
5,10.00,3.202
7,10.00,3.201
9,10.00,3.199
11,10.00,3.194
13,10.00,3.194
15,10.00,3.194
17,10.00,3.191
19,10.00,3.188
21,10.00,3.187
23,10.00,3.187
25,10.00,3.186
27,10.00,3.186
29,10.00,3.184
31,10.00,3.181
33,10.00,3.180
35,10.00,3.180
37,10.00,3.180
39,10.00,3.179
41,10.00,3.178
43,10.00,3.176
45,10.00,3.174
47,10.00,3.174
49,10.00,3.173
51,10.00,3.173
53,10.00,3.173
55,10.00,3.173
57,10.00,3.173
58,10.00,3.172
58,10.00,3.172
60,0.00,3.202
62,0.00,3.202
64,0.00,3.208
66,0.00,3.209
68,0.00,3.209
70,0.00,3.209
72,0.00,3.212
74,0.00,3.215
76,0.00,3.215
78,0.00,3.216
80,0.00,3.216
82,0.00,3.216
84,0.00,3.216
86,0.00,3.216
88,0.00,3.216
90,0.00,3.216
92,0.00,3.217
94,0.00,3.219
96,0.00,3.222
98,0.00,3.223
100,0.00,3.223
102,0.00,3.223
104,0.00,3.223
106,0.00,3.223
108,0.00,3.224
110,0.00,3.224
112,0.00,3.224
114,0.00,3.224
116,0.00,3.224
118,0.00,3.224
120,0.00,3.224
122,0.00,3.224
124,0.00,3.224
126,0.00,3.224
128,0.00,3.224
130,0.00,3.224
132,0.00,3.224
134,0.00,3.224
136,0.00,3.224
138,0.00,3.224
140,0.00,3.224
142,0.00,3.224
144,0.00,3.224
146,0.00,3.225
148,0.00,3.225
150,0.00,3.225
152,0.00,3.226
154,0.00,3.227
156,0.00,3.228
158,0.00,3.228
160,0.00,3.229
162,0.00,3.229
164,0.00,3.230
166,0.00,3.230
168,0.00,3.230
170,0.00,3.230
172,0.00,3.230
174,0.00,3.230
176,0.00,3.230
178,0.00,3.230
180,0.00,3.230
182,0.00,3.230
184,0.00,3.230
186,0.00,3.230
188,0.00,3.230
190,0.00,3.230
192,0.00,3.230
194,0.00,3.230
196,0.00,3.230
198,0.00,3.230
200,0.00,3.230
202,0.00,3.230
204,0.00,3.231
206,0.00,3.230
208,0.00,3.231
210,0.00,3.231
212,0.00,3.231
214,0.00,3.231
216,0.00,3.230
218,0.00,3.231
220,0.00,3.231
222,0.00,3.231
224,0.00,3.231
226,0.00,3.231
228,0.00,3.231
230,0.00,3.231
232,0.00,3.231
234,0.00,3.231
236,0.00,3.231
238,0.00,3.231
240,0.00,3.231
242,0.00,3.231
244,0.00,3.231
246,0.00,3.231
248,0.00,3.231
250,0.00,3.231
252,0.00,3.231
254,0.00,3.231
256,0.00,3.231
258,0.00,3.231
260,0.00,3.231
262,0.00,3.231
264,0.00,3.231
266,0.00,3.231
268,0.00,3.231
270,0.00,3.231
272,0.00,3.231
274,0.00,3.231
276,0.00,3.231
278,0.00,3.231
280,0.00,3.231
282,0.00,3.231
284,0.00,3.231
286,0.00,3.231
288,0.00,3.231
290,0.00,3.231
292,0.00,3.231
294,0.00,3.231
296,0.00,3.231
298,0.00,3.231
300,0.00,3.231
302,0.00,3.231
304,0.00,3.231
306,0.00,3.231
308,0.00,3.231
310,0.00,3.231
312,0.00,3.231
314,0.00,3.231
316,0.00,3.231
318,0.00,3.231
320,0.00,3.231
322,0.00,3.231
324,0.00,3.231
326,0.00,3.231
328,0.00,3.231
330,0.00,3.231
332,0.00,3.231
334,0.00,3.231
336,0.00,3.231
338,0.00,3.231
340,0.00,3.231
342,0.00,3.231
344,0.00,3.231
346,0.00,3.231
348,0.00,3.231
350,0.00,3.231
352,0.00,3.231
354,0.00,3.231
356,0.00,3.231
358,0.00,3.231
360,0.00,3.231
362,0.00,3.231
363,0.00,3.231
364,11.00,3.201
366,11.00,3.194
368,11.00,3.190
370,11.00,3.187
372,11.00,3.186
374,11.00,3.183
376,11.00,3.180
378,11.00,3.179
