-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,Wait,0,0
*1-2,D-CC,0.165,0.431
*1-3,Wait,0,0
*1-4,D-CC,0.007,0.018
*1-5,Wait,0,0
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,2.763
13559,0.00,2.762
13560,10.00,2.722
13562,10.00,2.713
13564,10.00,2.705
13566,10.00,2.698
13568,10.00,2.691
13570,10.00,2.680
13572,10.00,2.675
13574,10.00,2.666
13576,10.00,2.659
13578,10.00,2.651
13580,10.00,2.643
13582,10.00,2.635
13584,10.00,2.626
13586,10.00,2.619
13588,10.00,2.611
13590,10.00,2.603
13592,10.00,2.594
13594,10.00,2.582
13596,10.00,2.574
13598,10.00,2.564
13600,10.00,2.553
13602,10.00,2.545
13604,10.00,2.531
13606,10.00,2.521
13608,10.00,2.509
13610,10.00,2.495
13612,10.00,2.486
13614,10.00,2.471
13616,10.00,2.455
13618,10.00,2.443
13618,10.00,2.439
13618,10.00,2.439
13620,0.00,2.487
13622,0.00,2.495
13624,0.00,2.502
13626,0.00,2.507
13628,0.00,2.509
13630,0.00,2.514
13632,0.00,2.517
13634,0.00,2.517
13636,0.00,2.517
13638,0.00,2.523
13640,0.00,2.524
13642,0.00,2.524
13644,0.00,2.524
13646,0.00,2.525
13648,0.00,2.530
13650,0.00,2.530
13652,0.00,2.531
13654,0.00,2.531
13656,0.00,2.531
13658,0.00,2.531
13660,0.00,2.531
13662,0.00,2.534
13664,0.00,2.537
13666,0.00,2.537
13668,0.00,2.538
13670,0.00,2.538
13672,0.00,2.538
13674,0.00,2.538
13676,0.00,2.538
13678,0.00,2.538
13680,0.00,2.538
13682,0.00,2.538
13684,0.00,2.540
13686,0.00,2.544
13688,0.00,2.545
13690,0.00,2.545
13692,0.00,2.545
13694,0.00,2.546
13696,0.00,2.545
13698,0.00,2.546
13700,0.00,2.546
13702,0.00,2.546
13704,0.00,2.546
13706,0.00,2.546
13708,0.00,2.546
13710,0.00,2.546
13712,0.00,2.546
13714,0.00,2.546
13716,0.00,2.546
13718,0.00,2.546
13720,0.00,2.547
13722,0.00,2.548
13724,0.00,2.550
13726,0.00,2.552
13728,0.00,2.552
13730,0.00,2.552
13732,0.00,2.552
13734,0.00,2.552
13736,0.00,2.553
13738,0.00,2.553
13740,0.00,2.553
13742,0.00,2.553
13744,0.00,2.553
13746,0.00,2.553
13748,0.00,2.553
13750,0.00,2.553
13752,0.00,2.553
13754,0.00,2.553
13756,0.00,2.553
13758,0.00,2.553
13760,0.00,2.553
13762,0.00,2.553
13764,0.00,2.553
13766,0.00,2.553
13768,0.00,2.553
13770,0.00,2.553
13772,0.00,2.554
13774,0.00,2.555
13776,0.00,2.556
13778,0.00,2.558
13780,0.00,2.558
13782,0.00,2.559
13784,0.00,2.559
13786,0.00,2.559
13788,0.00,2.559
13790,0.00,2.559
13792,0.00,2.559
13794,0.00,2.559
13796,0.00,2.559
13798,0.00,2.559
13800,0.00,2.560
13802,0.00,2.560
13804,0.00,2.560
13806,0.00,2.560
13808,0.00,2.560
13810,0.00,2.560
13812,0.00,2.560
13814,0.00,2.560
13816,0.00,2.560
13818,0.00,2.560
13820,0.00,2.560
13822,0.00,2.560
13824,0.00,2.560
13826,0.00,2.560
13828,0.00,2.560
13830,0.00,2.560
13832,0.00,2.560
13834,0.00,2.560
13836,0.00,2.560
13838,0.00,2.560
13840,0.00,2.560
13842,0.00,2.560
13844,0.00,2.560
13846,0.00,2.560
13848,0.00,2.560
13850,0.00,2.560
13852,0.00,2.560
13854,0.00,2.560
13856,0.00,2.560
13858,0.00,2.560
13860,0.00,2.560
13862,0.00,2.561
13864,0.00,2.561
13866,0.00,2.562
13868,0.00,2.563
13870,0.00,2.564
13872,0.00,2.565
13874,0.00,2.566
13876,0.00,2.567
13878,0.00,2.567
13880,0.00,2.567
13882,0.00,2.567
13884,0.00,2.567
13886,0.00,2.567
13888,0.00,2.567
13890,0.00,2.567
13892,0.00,2.567
13894,0.00,2.568
13896,0.00,2.567
13898,0.00,2.567
13900,0.00,2.568
13902,0.00,2.568
13904,0.00,2.568
13906,0.00,2.568
13908,0.00,2.568
13910,0.00,2.568
13912,0.00,2.568
13914,0.00,2.568
13916,0.00,2.568
13918,0.00,2.568
13920,0.00,2.568
13922,0.00,2.568
13923,0.00,2.568
13924,11.00,2.522
13926,11.00,2.499
13926,11.00,2.499
13927,0.00,2.538
13929,0.00,2.545
13931,0.00,2.546
13933,0.00,2.546
13935,0.00,2.546
13937,0.00,2.547
13939,0.00,2.550
13941,0.00,2.552
13943,0.00,2.552
13945,0.00,2.552
13947,0.00,2.552
13949,0.00,2.553
13951,0.00,2.553
13953,0.00,2.553
13955,0.00,2.553
13957,0.00,2.553
13959,0.00,2.553
13961,0.00,2.553
13963,0.00,2.553
13965,0.00,2.553
13967,0.00,2.553
13969,0.00,2.553
13971,0.00,2.553
13973,0.00,2.553
13975,0.00,2.553
13977,0.00,2.553
13979,0.00,2.553
13981,0.00,2.553
13983,0.00,2.553
13985,0.00,2.553
13987,0.00,2.553
13989,0.00,2.554
13991,0.00,2.554
13993,0.00,2.555
13995,0.00,2.556
13997,0.00,2.557
13999,0.00,2.558
14001,0.00,2.558
14003,0.00,2.559
14005,0.00,2.559
14007,0.00,2.559
14009,0.00,2.559
14011,0.00,2.559
14013,0.00,2.559
14015,0.00,2.559
14017,0.00,2.559
14019,0.00,2.559
14021,0.00,2.559
14023,0.00,2.559
14025,0.00,2.559
14027,0.00,2.560
14029,0.00,2.560
14031,0.00,2.560
14033,0.00,2.560
14035,0.00,2.560
14037,0.00,2.560
14039,0.00,2.560
14041,0.00,2.560
14043,0.00,2.560
14045,0.00,2.560
14047,0.00,2.560
14049,0.00,2.560
14051,0.00,2.560
14053,0.00,2.560
14055,0.00,2.560
14057,0.00,2.560
14059,0.00,2.560
14061,0.00,2.560
14063,0.00,2.560
14065,0.00,2.560
14067,0.00,2.560
14069,0.00,2.560
14071,0.00,2.560
14073,0.00,2.560
14075,0.00,2.560
14077,0.00,2.560
14079,0.00,2.560
14081,0.00,2.560
14083,0.00,2.560
14085,0.00,2.560
14087,0.00,2.560
14089,0.00,2.560
14091,0.00,2.560
