-----------EB Tester Software-----------
Device:No Device
Mode:
Begin Volt:
Cutoff Volt:
Capacity:18.77Ah
Energy:62.91Wh
Avg Volt:
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,3.020
0,0.00,3.020
1,5.00,3.034
3,5.00,3.040
5,5.00,3.041
7,5.00,3.041
9,5.00,3.048
11,5.00,3.049
13,5.00,3.049
15,5.00,3.049
17,5.00,3.054
19,5.00,3.056
21,5.00,3.056
23,5.00,3.056
25,5.00,3.056
27,5.00,3.059
29,5.00,3.062
31,5.00,3.063
33,5.00,3.063
35,5.00,3.063
37,5.00,3.063
39,5.00,3.067
41,5.00,3.070
43,5.00,3.071
45,5.00,3.071
47,5.00,3.071
49,5.00,3.071
51,5.00,3.071
53,5.00,3.074
55,5.00,3.077
57,5.00,3.078
59,5.00,3.078
61,5.00,3.078
63,5.00,3.078
65,5.00,3.078
67,5.00,3.079
69,5.00,3.083
71,5.00,3.084
73,5.00,3.085
75,5.00,3.085
77,5.00,3.085
79,5.00,3.085
81,5.00,3.085
83,5.00,3.085
85,5.00,3.087
87,5.00,3.091
89,5.00,3.091
91,5.00,3.092
93,5.00,3.092
95,5.00,3.092
97,5.00,3.092
99,5.00,3.092
101,5.00,3.093
103,5.00,3.097
105,5.00,3.099
107,5.00,3.099
109,5.00,3.099
111,5.00,3.100
113,5.00,3.100
115,5.00,3.100
117,5.00,3.100
119,5.00,3.100
121,5.00,3.102
123,5.00,3.105
125,5.00,3.106
127,5.00,3.106
129,5.00,3.107
131,5.00,3.107
133,5.00,3.107
135,5.00,3.107
137,5.00,3.107
139,5.00,3.107
141,5.00,3.109
143,5.00,3.112
145,5.00,3.113
147,5.00,3.113
149,5.00,3.114
151,5.00,3.114
153,5.00,3.114
155,5.00,3.114
157,5.00,3.114
159,5.00,3.114
161,5.00,3.114
163,5.00,3.114
165,5.00,3.118
167,5.00,3.121
169,5.00,3.121
171,5.00,3.122
173,5.00,3.122
175,5.00,3.122
177,5.00,3.122
179,5.00,3.122
181,5.00,3.122
183,5.00,3.122
185,5.00,3.122
187,5.00,3.123
189,5.00,3.127
191,5.00,3.128
193,5.00,3.128
195,5.00,3.128
197,5.00,3.129
199,5.00,3.129
201,5.00,3.129
203,5.00,3.129
205,5.00,3.129
207,5.00,3.129
209,5.00,3.129
211,5.00,3.129
213,5.00,3.131
215,5.00,3.134
217,5.00,3.135
219,5.00,3.135
221,5.00,3.135
223,5.00,3.136
225,5.00,3.136
227,5.00,3.136
229,5.00,3.136
231,5.00,3.136
233,5.00,3.136
235,5.00,3.136
237,5.00,3.136
239,5.00,3.137
241,5.00,3.141
243,5.00,3.143
245,5.00,3.143
247,5.00,3.143
249,5.00,3.143
251,5.00,3.143
253,5.00,3.143
255,5.00,3.143
257,5.00,3.143
