-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,C-CV,0.045,0.164
*1-2,Wait,0,0
*1-3,D-CC,19.42,61.67
*1-4,Wait,0,0
*1-5,C-CV,19.40,64.81
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,3.501
0,0.00,3.501
1,5.00,3.522
3,5.00,3.538
5,5.00,3.558
7,5.00,3.574
9,5.00,3.593
11,5.00,3.610
13,5.00,3.625
15,5.00,3.650
17,2.97,3.650
19,0.61,3.650
21,1.26,3.650
23,1.12,3.650
25,1.00,3.650
27,0.94,3.650
29,0.86,3.650
31,0.79,3.650
33,0.74,3.650
35,0.71,3.650
37,0.66,3.650
39,0.62,3.650
41,0.61,3.650
43,0.57,3.650
45,0.54,3.650
47,0.53,3.650
49,0.49,3.650
51,0.51,3.650
53,0.48,3.650
55,0.46,3.650
57,0.45,3.650
59,0.43,3.650
61,0.42,3.650
63,0.41,3.650
65,0.40,3.650
67,0.40,3.650
69,0.36,3.650
71,0.36,3.650
73,0.36,3.650
75,0.34,3.650
77,0.35,3.650
79,0.34,3.650
81,0.32,3.650
83,0.33,3.650
85,0.32,3.650
87,0.32,3.650
89,0.31,3.650
91,0.28,3.650
93,0.30,3.650
95,0.28,3.650
97,0.28,3.650
99,0.28,3.650
101,0.27,3.650
103,0.27,3.650
105,0.28,3.650
107,0.25,3.650
109,0.24,3.650
111,0.24,3.650
113,0.24,3.650
115,0.24,3.650
117,0.24,3.650
119,0.24,3.650
121,0.23,3.650
123,0.23,3.650
125,0.23,3.650
127,0.22,3.650
129,0.22,3.650
131,0.21,3.650
133,0.20,3.650
135,0.22,3.650
137,0.20,3.650
139,0.20,3.650
141,0.20,3.650
143,0.20,3.650
145,0.20,3.650
147,0.20,3.650
149,0.20,3.650
151,0.20,3.650
153,0.19,3.650
155,0.19,3.650
157,0.18,3.650
159,0.18,3.650
161,0.16,3.650
163,0.19,3.650
165,0.18,3.650
167,0.18,3.650
