-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,C-CV,19.67,66.06
*1-2,Wait,0,0
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,2.691
0,0.00,2.691
1,5.00,2.713
3,5.00,2.721
5,5.00,2.722
7,5.00,2.728
9,5.00,2.734
11,5.00,2.735
13,5.00,2.742
15,5.00,2.742
17,5.00,2.749
19,5.00,2.750
21,5.00,2.755
23,5.00,2.757
25,5.00,2.757
27,5.00,2.764
29,5.00,2.764
31,5.00,2.770
33,5.00,2.772
35,5.00,2.772
37,5.00,2.778
39,5.00,2.779
41,5.00,2.781
43,5.00,2.786
45,5.00,2.786
47,5.00,2.791
49,5.00,2.794
51,5.00,2.794
53,5.00,2.794
55,5.00,2.801
57,5.00,2.801
59,5.00,2.804
61,5.00,2.807
63,5.00,2.808
65,5.00,2.809
67,5.00,2.815
69,5.00,2.815
71,5.00,2.815
73,5.00,2.822
75,5.00,2.823
77,5.00,2.823
79,5.00,2.825
81,5.00,2.829
83,5.00,2.830
85,5.00,2.830
87,5.00,2.836
89,5.00,2.837
91,5.00,2.837
93,5.00,2.837
95,5.00,2.844
97,5.00,2.845
99,5.00,2.845
101,5.00,2.845
103,5.00,2.851
105,5.00,2.852
107,5.00,2.852
109,5.00,2.852
111,5.00,2.858
113,5.00,2.859
115,5.00,2.859
117,5.00,2.859
119,5.00,2.866
121,5.00,2.866
123,5.00,2.866
125,5.00,2.866
127,5.00,2.871
129,5.00,2.873
131,5.00,2.874
133,5.00,2.874
135,5.00,2.875
137,5.00,2.880
139,5.00,2.880
141,5.00,2.881
143,5.00,2.881
145,5.00,2.885
147,5.00,2.887
149,5.00,2.888
151,5.00,2.888
153,5.00,2.888
155,5.00,2.894
157,5.00,2.895
159,5.00,2.896
161,5.00,2.896
163,5.00,2.896
165,5.00,2.900
167,5.00,2.902
169,5.00,2.903
171,5.00,2.903
173,5.00,2.903
175,5.00,2.907
177,5.00,2.909
179,5.00,2.910
181,5.00,2.910
183,5.00,2.910
185,5.00,2.910
187,5.00,2.917
189,5.00,2.917
191,5.00,2.917
193,5.00,2.917
195,5.00,2.917
197,5.00,2.922
199,5.00,2.924
201,5.00,2.925
203,5.00,2.925
205,5.00,2.925
207,5.00,2.925
209,5.00,2.931
211,5.00,2.931
213,5.00,2.932
215,5.00,2.932
217,5.00,2.932
219,5.00,2.934
221,5.00,2.938
223,5.00,2.938
225,5.00,2.939
227,5.00,2.939
229,5.00,2.939
231,5.00,2.939
233,5.00,2.945
235,5.00,2.946
237,5.00,2.946
239,5.00,2.947
241,5.00,2.947
243,5.00,2.947
245,5.00,2.951
247,5.00,2.953
249,5.00,2.953
251,5.00,2.954
253,5.00,2.954
255,5.00,2.954
257,5.00,2.954
259,5.00,2.959
261,5.00,2.960
263,5.00,2.961
265,5.00,2.961
267,5.00,2.961
269,5.00,2.961
271,5.00,2.962
273,5.00,2.968
275,5.00,2.968
277,5.00,2.968
279,5.00,2.968
281,5.00,2.968
283,5.00,2.968
285,5.00,2.968
287,5.00,2.974
289,5.00,2.975
291,5.00,2.976
293,5.00,2.976
295,5.00,2.976
297,5.00,2.976
299,5.00,2.977
301,5.00,2.981
303,5.00,2.982
305,5.00,2.983
307,5.00,2.983
309,5.00,2.983
311,5.00,2.983
313,5.00,2.983
315,5.00,2.986
317,5.00,2.989
319,5.00,2.990
321,5.00,2.990
323,5.00,2.990
325,5.00,2.990
327,5.00,2.990
329,5.00,2.990
331,5.00,2.995
333,5.00,2.997
335,5.00,2.998
337,5.00,2.998
339,5.00,2.998
341,5.00,2.998
343,5.00,2.998
345,5.00,2.998
347,5.00,3.000
349,5.00,3.004
351,5.00,3.004
353,5.00,3.005
355,5.00,3.005
357,5.00,3.005
359,5.00,3.005
361,5.00,3.005
363,5.00,3.008
365,5.00,3.011
367,5.00,3.011
369,5.00,3.012
371,5.00,3.012
373,5.00,3.012
375,5.00,3.012
377,5.00,3.012
379,5.00,3.012
381,5.00,3.016
383,5.00,3.019
385,5.00,3.019
387,5.00,3.020
389,5.00,3.020
391,5.00,3.020
393,5.00,3.020
395,5.00,3.020
397,5.00,3.020
399,5.00,3.025
401,5.00,3.026
403,5.00,3.026
405,5.00,3.027
407,5.00,3.027
409,5.00,3.027
411,5.00,3.027
413,5.00,3.027
415,5.00,3.027
417,5.00,3.028
419,5.00,3.032
421,5.00,3.033
423,5.00,3.033
425,5.00,3.034
427,5.00,3.034
429,5.00,3.034
431,5.00,3.034
433,5.00,3.034
435,5.00,3.037
437,5.00,3.040
439,5.00,3.040
441,5.00,3.040
443,5.00,3.041
445,5.00,3.041
447,5.00,3.041
449,5.00,3.041
451,5.00,3.041
453,5.00,3.041
455,5.00,3.043
457,5.00,3.048
459,5.00,3.048
461,5.00,3.048
463,5.00,3.049
465,5.00,3.049
467,5.00,3.049
469,5.00,3.049
471,5.00,3.049
473,5.00,3.049
475,5.00,3.051
477,5.00,3.055
479,5.00,3.055
481,5.00,3.055
483,5.00,3.056
485,5.00,3.056
487,5.00,3.056
489,5.00,3.056
491,5.00,3.056
493,5.00,3.056
495,5.00,3.056
497,5.00,3.060
499,5.00,3.062
501,5.00,3.062
503,5.00,3.062
505,5.00,3.063
507,5.00,3.063
509,5.00,3.063
