-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,D-CC,0.118,0.309
*1-2,Wait,0,0
*1-3,C-CV,20.87,69.97
*1-4,Wait,0,0
*1-5,D-CC,20.80,66.82
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,2.719
0,0.00,2.718
1,4.40,2.701
3,4.40,2.698
5,4.40,2.691
7,4.40,2.691
9,4.40,2.684
11,4.40,2.683
13,4.40,2.677
15,4.40,2.677
17,4.40,2.671
19,4.40,2.670
21,4.40,2.664
23,4.40,2.662
25,4.40,2.658
27,4.40,2.655
29,4.40,2.651
31,4.40,2.648
33,4.40,2.646
35,4.40,2.640
37,4.40,2.639
39,4.40,2.633
41,4.40,2.630
43,4.40,2.626
45,4.40,2.619
47,4.40,2.619
49,4.40,2.612
51,4.40,2.610
53,4.40,2.604
55,4.40,2.603
57,4.40,2.597
59,4.40,2.596
61,4.40,2.589
63,4.40,2.585
65,4.40,2.582
67,4.40,2.575
69,4.40,2.574
71,4.40,2.568
73,4.40,2.560
75,4.40,2.559
77,4.40,2.553
79,4.40,2.546
81,4.40,2.545
83,4.40,2.538
85,4.40,2.531
87,4.40,2.525
89,4.40,2.523
91,4.40,2.517
93,4.40,2.509
95,4.40,2.502
97,4.40,2.500
97,4.40,2.500
98,0.00,2.517
100,0.00,2.521
102,0.00,2.524
104,0.00,2.524
106,0.00,2.524
108,0.00,2.530
110,0.00,2.530
112,0.00,2.531
114,0.00,2.531
116,0.00,2.531
118,0.00,2.531
120,0.00,2.531
122,0.00,2.534
124,0.00,2.537
126,0.00,2.537
128,0.00,2.538
130,0.00,2.538
132,0.00,2.538
134,0.00,2.538
136,0.00,2.538
138,0.00,2.538
140,0.00,2.538
142,0.00,2.538
144,0.00,2.538
146,0.00,2.539
148,0.00,2.542
150,0.00,2.544
152,0.00,2.545
154,0.00,2.545
156,0.00,2.545
158,0.00,2.545
160,0.00,2.545
162,0.00,2.546
164,0.00,2.546
166,0.00,2.546
168,0.00,2.546
170,0.00,2.546
172,0.00,2.546
174,0.00,2.546
176,0.00,2.546
178,0.00,2.546
180,0.00,2.546
182,0.00,2.546
184,0.00,2.546
186,0.00,2.546
188,0.00,2.546
190,0.00,2.547
192,0.00,2.547
194,0.00,2.549
196,0.00,2.551
198,0.00,2.552
200,0.00,2.552
202,0.00,2.552
204,0.00,2.552
206,0.00,2.552
208,0.00,2.553
210,0.00,2.552
212,0.00,2.553
214,0.00,2.553
216,0.00,2.553
218,0.00,2.553
220,0.00,2.553
222,0.00,2.553
224,0.00,2.553
226,0.00,2.553
228,0.00,2.553
230,0.00,2.553
232,0.00,2.553
234,0.00,2.553
236,0.00,2.553
238,0.00,2.553
240,0.00,2.553
242,0.00,2.553
244,0.00,2.553
246,0.00,2.553
248,0.00,2.553
250,0.00,2.553
252,0.00,2.554
254,0.00,2.555
256,0.00,2.556
258,0.00,2.558
260,0.00,2.558
262,0.00,2.559
264,0.00,2.559
266,0.00,2.559
268,0.00,2.559
270,0.00,2.559
272,0.00,2.559
274,0.00,2.559
276,0.00,2.559
278,0.00,2.560
280,0.00,2.559
282,0.00,2.560
284,0.00,2.560
286,0.00,2.560
288,0.00,2.560
290,0.00,2.560
292,0.00,2.560
294,0.00,2.560
296,0.00,2.560
298,0.00,2.560
300,0.00,2.560
302,0.00,2.560
304,0.00,2.560
306,0.00,2.560
308,0.00,2.560
310,0.00,2.560
312,0.00,2.560
314,0.00,2.560
316,0.00,2.560
318,0.00,2.560
320,0.00,2.560
322,0.00,2.560
324,0.00,2.560
326,0.00,2.560
328,0.00,2.560
330,0.00,2.560
332,0.00,2.560
334,0.00,2.560
336,0.00,2.560
338,0.00,2.560
340,0.00,2.560
342,0.00,2.560
344,0.00,2.560
346,0.00,2.561
348,0.00,2.562
350,0.00,2.563
352,0.00,2.564
354,0.00,2.564
356,0.00,2.565
358,0.00,2.566
360,0.00,2.567
362,0.00,2.567
364,0.00,2.567
366,0.00,2.567
368,0.00,2.567
370,0.00,2.567
372,0.00,2.567
374,0.00,2.567
376,0.00,2.567
378,0.00,2.567
380,0.00,2.568
382,0.00,2.568
384,0.00,2.568
386,0.00,2.568
388,0.00,2.568
390,0.00,2.567
392,0.00,2.568
394,0.00,2.568
396,0.00,2.568
398,0.00,2.568
400,0.00,2.568
402,0.00,2.568
404,0.00,2.568
406,0.00,2.568
408,0.00,2.568
410,0.00,2.568
412,0.00,2.568
414,0.00,2.568
416,0.00,2.568
418,0.00,2.568
420,0.00,2.568
422,0.00,2.568
424,0.00,2.568
426,0.00,2.568
428,0.00,2.568
430,0.00,2.568
432,0.00,2.568
434,0.00,2.568
436,0.00,2.568
438,0.00,2.569
440,0.00,2.570
442,0.00,2.571
444,0.00,2.572
446,0.00,2.572
448,0.00,2.573
450,0.00,2.573
452,0.00,2.574
454,0.00,2.574
456,0.00,2.574
458,0.00,2.574
460,0.00,2.574
462,0.00,2.574
464,0.00,2.574
466,0.00,2.574
468,0.00,2.574
470,0.00,2.575
472,0.00,2.575
474,0.00,2.575
476,0.00,2.575
478,0.00,2.575
480,0.00,2.575
482,0.00,2.575
484,0.00,2.575
486,0.00,2.575
488,0.00,2.575
490,0.00,2.575
492,0.00,2.575
494,0.00,2.575
496,0.00,2.575
498,0.00,2.575
500,0.00,2.575
502,0.00,2.575
504,0.00,2.575
506,0.00,2.575
508,0.00,2.575
510,0.00,2.575
512,0.00,2.575
514,0.00,2.575
516,0.00,2.575
518,0.00,2.575
520,0.00,2.575
522,0.00,2.575
524,0.00,2.575
526,0.00,2.575
528,0.00,2.575
530,0.00,2.575
532,0.00,2.575
534,0.00,2.575
536,0.00,2.575
538,0.00,2.575
540,0.00,2.575
542,0.00,2.575
544,0.00,2.575
546,0.00,2.575
548,0.00,2.575
550,0.00,2.575
552,0.00,2.575
554,0.00,2.575
556,0.00,2.575
558,0.00,2.576
560,0.00,2.577
562,0.00,2.577
564,0.00,2.578
566,0.00,2.578
568,0.00,2.578
570,0.00,2.579
572,0.00,2.580
574,0.00,2.580
576,0.00,2.581
578,0.00,2.581
580,0.00,2.581
582,0.00,2.581
584,0.00,2.581
586,0.00,2.581
588,0.00,2.581
590,0.00,2.581
592,0.00,2.581
594,0.00,2.581
596,0.00,2.581
598,0.00,2.581
600,0.00,2.581
602,0.00,2.582
604,0.00,2.581
606,0.00,2.581
608,0.00,2.582
610,0.00,2.582
612,0.00,2.582
614,0.00,2.582
616,0.00,2.582
618,0.00,2.582
620,0.00,2.582
622,0.00,2.582
624,0.00,2.582
626,0.00,2.582
628,0.00,2.582
630,0.00,2.582
632,0.00,2.582
634,0.00,2.582
636,0.00,2.582
638,0.00,2.582
640,0.00,2.582
642,0.00,2.582
644,0.00,2.582
646,0.00,2.582
648,0.00,2.582
650,0.00,2.582
652,0.00,2.582
654,0.00,2.582
656,0.00,2.582
658,0.00,2.582
660,0.00,2.582
662,0.00,2.582
664,0.00,2.582
666,0.00,2.582
668,0.00,2.582
670,0.00,2.582
672,0.00,2.582
674,0.00,2.582
676,0.00,2.582
678,0.00,2.582
680,0.00,2.582
682,0.00,2.582
684,0.00,2.582
686,0.00,2.582
688,0.00,2.582
690,0.00,2.582
692,0.00,2.582
694,0.00,2.583
696,0.00,2.584
698,0.00,2.584
700,0.00,2.585
702,0.00,2.586
704,0.00,2.586
706,0.00,2.587
708,0.00,2.587
710,0.00,2.588
712,0.00,2.588
714,0.00,2.589
716,0.00,2.589
718,0.00,2.589
720,0.00,2.589
722,0.00,2.589
724,0.00,2.589
726,0.00,2.589
728,0.00,2.589
730,0.00,2.589
732,0.00,2.589
734,0.00,2.589
736,0.00,2.589
738,0.00,2.589
740,0.00,2.589
742,0.00,2.589
744,0.00,2.589
746,0.00,2.589
748,0.00,2.589
750,0.00,2.589
752,0.00,2.589
754,0.00,2.589
756,0.00,2.589
758,0.00,2.589
760,0.00,2.589
762,0.00,2.589
764,0.00,2.589
766,0.00,2.589
768,0.00,2.589
770,0.00,2.589
772,0.00,2.589
774,0.00,2.589
776,0.00,2.589
778,0.00,2.589
780,0.00,2.589
782,0.00,2.589
784,0.00,2.589
786,0.00,2.589
788,0.00,2.589
790,0.00,2.589
792,0.00,2.589
794,0.00,2.589
796,0.00,2.589
798,0.00,2.589
800,0.00,2.589
802,0.00,2.589
804,0.00,2.589
806,0.00,2.589
808,0.00,2.589
810,0.00,2.589
812,0.00,2.589
814,0.00,2.589
816,0.00,2.589
818,0.00,2.589
820,0.00,2.589
822,0.00,2.589
824,0.00,2.589
826,0.00,2.589
828,0.00,2.589
830,0.00,2.589
832,0.00,2.589
834,0.00,2.589
836,0.00,2.589
838,0.00,2.589
840,0.00,2.589
842,0.00,2.589
844,0.00,2.589
846,0.00,2.589
848,0.00,2.589
850,0.00,2.589
852,0.00,2.589
854,0.00,2.589
856,0.00,2.589
858,0.00,2.590
860,0.00,2.590
862,0.00,2.591
864,0.00,2.591
866,0.00,2.592
868,0.00,2.592
870,0.00,2.593
872,0.00,2.594
874,0.00,2.594
876,0.00,2.595
878,0.00,2.595
880,0.00,2.595
882,0.00,2.595
884,0.00,2.596
886,0.00,2.596
888,0.00,2.596
890,0.00,2.596
892,0.00,2.596
894,0.00,2.596
896,0.00,2.596
898,0.00,2.596
900,0.00,2.596
902,0.00,2.596
904,0.00,2.596
906,0.00,2.596
908,0.00,2.596
910,0.00,2.596
912,0.00,2.596
914,0.00,2.597
916,0.00,2.596
918,0.00,2.597
920,0.00,2.597
922,0.00,2.597
924,0.00,2.597
926,0.00,2.597
928,0.00,2.597
930,0.00,2.597
932,0.00,2.597
934,0.00,2.597
936,0.00,2.597
938,0.00,2.597
940,0.00,2.597
942,0.00,2.597
944,0.00,2.597
946,0.00,2.597
948,0.00,2.597
950,0.00,2.597
952,0.00,2.597
954,0.00,2.597
956,0.00,2.597
958,0.00,2.597
960,0.00,2.597
962,0.00,2.597
964,0.00,2.597
966,0.00,2.597
968,0.00,2.597
970,0.00,2.597
972,0.00,2.597
974,0.00,2.597
976,0.00,2.597
978,0.00,2.597
980,0.00,2.597
982,0.00,2.597
984,0.00,2.597
986,0.00,2.597
988,0.00,2.597
990,0.00,2.597
992,0.00,2.597
994,0.00,2.597
996,0.00,2.597
998,0.00,2.597
1000,0.00,2.597
1001,0.00,2.597
1002,6.60,2.623
1004,6.60,2.633
1006,6.60,2.641
1008,6.60,2.651
1010,6.60,2.660
1012,6.60,2.666
1014,6.60,2.670
1016,6.60,2.677
1018,6.60,2.684
1020,6.60,2.691
1022,6.60,2.698
1024,6.60,2.701
1026,6.60,2.706
1028,6.60,2.712
1030,6.60,2.716
1032,6.60,2.721
1034,6.60,2.727
1036,6.60,2.730
1038,6.60,2.735
1040,6.60,2.742
1042,6.60,2.742
1044,6.60,2.749
1046,6.60,2.750
1048,6.60,2.756
1050,6.60,2.757
1052,6.60,2.764
1054,6.60,2.764
1056,6.60,2.772
1058,6.60,2.772
1060,6.60,2.779
1062,6.60,2.779
1064,6.60,2.785
1066,6.60,2.786
1068,6.60,2.793
1070,6.60,2.794
1072,6.60,2.794
1074,6.60,2.800
1076,6.60,2.801
1078,6.60,2.807
1080,6.60,2.808
1082,6.60,2.813
1084,6.60,2.815
1086,6.60,2.815
1088,6.60,2.822
1090,6.60,2.823
1092,6.60,2.823
1094,6.60,2.830
1096,6.60,2.830
1098,6.60,2.834
1100,6.60,2.836
1102,6.60,2.837
1104,6.60,2.841
1106,6.60,2.845
1108,6.60,2.845
1110,6.60,2.849
1112,6.60,2.852
1114,6.60,2.852
1116,6.60,2.854
1118,6.60,2.859
1120,6.60,2.859
1122,6.60,2.860
1124,6.60,2.866
1126,6.60,2.866
1128,6.60,2.866
1130,6.60,2.873
1132,6.60,2.874
1134,6.60,2.874
1136,6.60,2.878
1138,6.60,2.881
1140,6.60,2.881
1142,6.60,2.881
1144,6.60,2.887
1146,6.60,2.888
1148,6.60,2.888
1150,6.60,2.890
1152,6.60,2.895
1154,6.60,2.896
1156,6.60,2.896
1158,6.60,2.899
1160,6.60,2.902
1162,6.60,2.903
1164,6.60,2.903
1166,6.60,2.907
1168,6.60,2.910
1170,6.60,2.910
1172,6.60,2.910
1174,6.60,2.913
1176,6.60,2.917
1178,6.60,2.917
1180,6.60,2.917
1182,6.60,2.920
1184,6.60,2.924
1186,6.60,2.925
1188,6.60,2.925
1190,6.60,2.925
1192,6.60,2.931
1194,6.60,2.932
1196,6.60,2.932
1198,6.60,2.932
1200,6.60,2.937
1202,6.60,2.938
1204,6.60,2.939
1206,6.60,2.939
1208,6.60,2.939
1210,6.60,2.946
1212,6.60,2.946
1214,6.60,2.947
1216,6.60,2.947
1218,6.60,2.948
1220,6.60,2.953
1222,6.60,2.953
1224,6.60,2.954
1226,6.60,2.954
1228,6.60,2.956
1230,6.60,2.960
1232,6.60,2.961
1234,6.60,2.961
1236,6.60,2.961
1238,6.60,2.962
1240,6.60,2.968
1242,6.60,2.968
1244,6.60,2.968
1246,6.60,2.968
1248,6.60,2.968
1250,6.60,2.973
1252,6.60,2.975
1254,6.60,2.976
1256,6.60,2.976
1258,6.60,2.976
1260,6.60,2.980
1262,6.60,2.982
1264,6.60,2.983
1266,6.60,2.983
1268,6.60,2.983
1270,6.60,2.983
1272,6.60,2.989
1274,6.60,2.989
1276,6.60,2.990
1278,6.60,2.990
1280,6.60,2.990
1282,6.60,2.991
1284,6.60,2.997
1286,6.60,2.997
1288,6.60,2.998
1290,6.60,2.998
1292,6.60,2.998
1294,6.60,2.998
1296,6.60,3.003
1298,6.60,3.004
1300,6.60,3.005
1302,6.60,3.005
1304,6.60,3.005
1306,6.60,3.006
1308,6.60,3.011
1310,6.60,3.011
1312,6.60,3.012
1314,6.60,3.012
1316,6.60,3.012
1318,6.60,3.012
1320,6.60,3.015
1322,6.60,3.019
1324,6.60,3.019
1326,6.60,3.020
1328,6.60,3.020
1330,6.60,3.020
1332,6.60,3.020
1334,6.60,3.026
1336,6.60,3.026
1338,6.60,3.027
1340,6.60,3.027
1342,6.60,3.027
1344,6.60,3.027
1346,6.60,3.027
1348,6.60,3.030
1350,6.60,3.033
1352,6.60,3.034
1354,6.60,3.034
1356,6.60,3.034
1358,6.60,3.034
1360,6.60,3.036
1362,6.60,3.040
1364,6.60,3.040
1366,6.60,3.041
1368,6.60,3.041
1370,6.60,3.041
1372,6.60,3.041
1374,6.60,3.041
1376,6.60,3.046
1378,6.60,3.048
1380,6.60,3.049
1382,6.60,3.049
1384,6.60,3.049
1386,6.60,3.049
1388,6.60,3.049
1390,6.60,3.051
1392,6.60,3.055
1394,6.60,3.055
1396,6.60,3.056
1398,6.60,3.056
1400,6.60,3.056
1402,6.60,3.056
1404,6.60,3.056
1406,6.60,3.058
1408,6.60,3.062
1410,6.60,3.062
1412,6.60,3.063
1414,6.60,3.063
1416,6.60,3.063
1418,6.60,3.063
1420,6.60,3.063
1422,6.60,3.066
1424,6.60,3.070
1426,6.60,3.070
1428,6.60,3.070
1430,6.60,3.071
1432,6.60,3.071
1434,6.60,3.071
1436,6.60,3.071
1438,6.60,3.071
1440,6.60,3.076
1442,6.60,3.077
1444,6.60,3.078
1446,6.60,3.078
1448,6.60,3.078
1450,6.60,3.078
1452,6.60,3.078
1454,6.60,3.078
1456,6.60,3.081
1458,6.60,3.084
1460,6.60,3.084
1462,6.60,3.085
1464,6.60,3.085
1466,6.60,3.085
1468,6.60,3.085
1470,6.60,3.085
1472,6.60,3.085
1474,6.60,3.085
1476,6.60,3.090
1478,6.60,3.091
1480,6.60,3.091
1482,6.60,3.092
1484,6.60,3.092
1486,6.60,3.092
1488,6.60,3.092
1490,6.60,3.092
1492,6.60,3.094
1494,6.60,3.098
1496,6.60,3.099
1498,6.60,3.099
1500,6.60,3.100
1502,6.60,3.100
1504,6.60,3.100
1506,6.60,3.100
1508,6.60,3.100
1510,6.60,3.100
1512,6.60,3.103
1514,6.60,3.106
1516,6.60,3.106
1518,6.60,3.106
1520,6.60,3.107
1522,6.60,3.107
1524,6.60,3.107
1526,6.60,3.107
1528,6.60,3.107
1530,6.60,3.108
1532,6.60,3.112
1534,6.60,3.113
1536,6.60,3.113
1538,6.60,3.114
1540,6.60,3.114
1542,6.60,3.114
1544,6.60,3.114
1546,6.60,3.114
1548,6.60,3.114
1550,6.60,3.114
1552,6.60,3.116
1554,6.60,3.120
1556,6.60,3.121
1558,6.60,3.121
1560,6.60,3.122
1562,6.60,3.122
1564,6.60,3.122
1566,6.60,3.122
1568,6.60,3.122
1570,6.60,3.122
1572,6.60,3.122
1574,6.60,3.126
1576,6.60,3.128
1578,6.60,3.128
1580,6.60,3.129
1582,6.60,3.129
1584,6.60,3.129
1586,6.60,3.129
1588,6.60,3.129
1590,6.60,3.129
1592,6.60,3.129
1594,6.60,3.129
1596,6.60,3.133
1598,6.60,3.135
1600,6.60,3.135
1602,6.60,3.135
1604,6.60,3.136
1606,6.60,3.136
1608,6.60,3.136
1610,6.60,3.136
1612,6.60,3.136
1614,6.60,3.136
1616,6.60,3.136
1618,6.60,3.139
1620,6.60,3.142
1622,6.60,3.143
1624,6.60,3.143
1626,6.60,3.143
1628,6.60,3.143
1630,6.60,3.143
1632,6.60,3.143
1634,6.60,3.143
1636,6.60,3.143
1638,6.60,3.143
1640,6.60,3.143
1642,6.60,3.143
1644,6.60,3.146
1646,6.60,3.149
1648,6.60,3.150
1650,6.60,3.150
1652,6.60,3.151
1654,6.60,3.151
1656,6.60,3.151
1658,6.60,3.151
1660,6.60,3.151
1662,6.60,3.151
1664,6.60,3.151
1666,6.60,3.153
1668,6.60,3.157
1670,6.60,3.157
1672,6.60,3.157
1674,6.60,3.158
1676,6.60,3.157
