-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,D-CC,1.244,4.048
*1-2,Wait,0,0
*1-3,D-CC,0.998,3.276
*1-4,Wait,0,0
*1-5,D-CC,0.998,3.244
*1-6,Wait,0,0
*2-1,D-CC,1.246,4.018
*2-2,Wait,0,0
*2-3,D-CC,0.998,3.254
*2-4,Wait,0,0
*2-5,D-CC,0.997,3.226
*2-6,Wait,0,0
*3-1,D-CC,1.244,3.996
*3-2,Wait,0,0
*3-3,D-CC,0.999,3.250
*3-4,Wait,0,0
*3-5,D-CC,0.998,3.220
*3-6,Wait,0,0
*4-1,D-CC,1.245,3.984
*4-2,Wait,0,0
*4-3,D-CC,0.998,3.232
*4-4,Wait,0,0
*4-5,D-CC,0.998,3.200
*4-6,Wait,0,0
*5-1,D-CC,1.246,3.956
*5-2,Wait,0,0
*5-3,D-CC,0.998,3.200
*5-4,Wait,0,0
*5-5,D-CC,0.996,3.155
*5-6,Wait,0,0
*6-1,D-CC,1.248,3.901
*6-2,Wait,0,0
*6-3,D-CC,0.999,3.155
*6-4,Wait,0,0
*6-5,D-CC,0.997,3.079
*6-6,Wait,0,0
*7-1,D-CC,1.185,3.368
*7-2,Wait,0,0
*7-3,D-CC,0.090,0.232
*7-4,Wait,0,0
*7-5,D-CC,0.022,0.056
*7-6,Wait,0,0
*8-1,D-CC,0.029,0.074
*8-2,Wait,0,0
*8-3,D-CC,0.032,0.081
*8-4,Wait,0,0
*8-5,D-CC,0.009,0.023
*8-6,Wait,0,0
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,3.420
0,0.00,3.420
1,15.00,3.377
3,15.00,3.358
5,15.00,3.348
7,15.00,3.339
9,15.00,3.332
11,15.00,3.326
13,15.00,3.319
15,15.00,3.317
17,15.00,3.311
19,15.00,3.307
21,15.00,3.303
23,15.00,3.298
25,15.00,3.296
27,15.00,3.291
29,15.00,3.289
31,15.00,3.286
33,15.00,3.282
34,15.00,3.281
37,15.00,3.276
39,15.00,3.275
41,15.00,3.274
43,15.00,3.270
45,15.00,3.267
47,15.00,3.266
48,15.00,3.263
51,15.00,3.261
53,15.00,3.260
54,15.00,3.260
56,15.00,3.259
59,15.00,3.257
60,15.00,3.256
63,15.00,3.254
64,15.00,3.253
67,15.00,3.253
68,15.00,3.252
71,15.00,3.252
72,15.00,3.251
74,15.00,3.249
77,15.00,3.248
79,15.00,3.247
80,15.00,3.247
83,15.00,3.246
85,15.00,3.245
87,15.00,3.245
89,15.00,3.245
91,15.00,3.245
93,15.00,3.245
95,15.00,3.245
97,15.00,3.245
99,15.00,3.245
100,15.00,3.245
102,15.00,3.245
104,15.00,3.245
107,15.00,3.245
109,15.00,3.245
110,15.00,3.245
113,15.00,3.244
115,15.00,3.244
117,15.00,3.243
118,15.00,3.243
120,15.00,3.243
123,15.00,3.243
125,15.00,3.242
126,15.00,3.242
129,15.00,3.242
131,15.00,3.242
133,15.00,3.242
135,15.00,3.242
137,15.00,3.241
139,15.00,3.241
141,15.00,3.241
143,15.00,3.241
145,15.00,3.241
146,15.00,3.241
149,15.00,3.241
151,15.00,3.241
153,15.00,3.241
154,15.00,3.241
156,15.00,3.241
158,15.00,3.240
160,15.00,3.241
163,15.00,3.240
165,15.00,3.240
166,15.00,3.240
168,15.00,3.240
170,15.00,3.240
172,15.00,3.240
175,15.00,3.240
177,15.00,3.240
179,15.00,3.240
181,15.00,3.240
183,15.00,3.240
184,15.00,3.240
186,15.00,3.240
188,15.00,3.240
190,15.00,3.240
192,15.00,3.239
194,15.00,3.239
196,15.00,3.239
198,15.00,3.239
201,15.00,3.239
202,15.00,3.239
204,15.00,3.239
207,15.00,3.239
209,15.00,3.239
210,15.00,3.239
212,15.00,3.239
215,15.00,3.239
217,15.00,3.239
219,15.00,3.239
221,15.00,3.239
223,15.00,3.239
225,15.00,3.238
226,15.00,3.239
228,15.00,3.238
230,15.00,3.238
232,15.00,3.238
234,15.00,3.238
237,15.00,3.238
239,15.00,3.238
241,15.00,3.238
243,15.00,3.238
244,15.00,3.238
247,15.00,3.238
248,15.00,3.238
250,15.00,3.238
252,15.00,3.238
255,15.00,3.238
257,15.00,3.238
259,15.00,3.238
260,15.00,3.238
262,15.00,3.238
265,15.00,3.238
266,15.00,3.238
268,15.00,3.238
271,15.00,3.238
272,15.00,3.238
274,15.00,3.238
276,15.00,3.238
278,15.00,3.238
281,15.00,3.238
282,15.00,3.238
284,15.00,3.238
287,15.00,3.238
289,15.00,3.238
290,15.00,3.238
292,15.00,3.238
294,15.00,3.238
297,15.00,3.238
299,15.00,3.238
299,15.00,3.238
299,15.00,3.238
300,0.00,3.275
302,0.00,3.275
304,0.00,3.281
306,0.00,3.282
308,0.00,3.282
310,0.00,3.282
312,0.00,3.288
314,0.00,3.288
316,0.00,3.289
318,0.00,3.289
321,0.00,3.289
322,0.00,3.289
324,0.00,3.289
326,0.00,3.290
328,0.00,3.294
330,0.00,3.296
332,0.00,3.296
334,0.00,3.296
337,0.00,3.297
339,0.00,3.297
340,0.00,3.297
343,0.00,3.297
344,0.00,3.297
346,0.00,3.297
348,0.00,3.297
350,0.00,3.297
352,0.00,3.297
354,0.00,3.297
356,0.00,3.299
358,0.00,3.301
360,0.00,3.303
362,0.00,3.303
364,0.00,3.303
367,0.00,3.303
369,0.00,3.303
371,0.00,3.303
372,0.00,3.303
374,0.00,3.304
377,0.00,3.303
379,0.00,3.304
380,0.00,3.304
382,0.00,3.304
384,0.00,3.304
386,0.00,3.304
388,0.00,3.304
390,0.00,3.304
392,0.00,3.304
394,0.00,3.304
396,0.00,3.304
398,0.00,3.304
400,0.00,3.304
402,0.00,3.304
404,0.00,3.304
406,0.00,3.304
408,0.00,3.304
410,0.00,3.304
412,0.00,3.304
415,0.00,3.304
417,0.00,3.304
418,0.00,3.304
421,0.00,3.304
423,0.00,3.304
424,5.00,3.296
426,5.00,3.293
428,5.00,3.290
430,5.00,3.289
432,5.00,3.289
434,5.00,3.289
436,5.00,3.289
438,5.00,3.289
440,5.00,3.289
442,5.00,3.289
444,5.00,3.289
446,5.00,3.289
448,5.00,3.289
450,5.00,3.289
452,5.00,3.289
454,5.00,3.289
456,5.00,3.288
458,5.00,3.288
460,5.00,3.288
462,5.00,3.288
464,5.00,3.288
466,5.00,3.288
468,5.00,3.288
470,5.00,3.288
472,5.00,3.288
474,5.00,3.288
476,5.00,3.288
478,5.00,3.288
480,5.00,3.288
482,5.00,3.287
484,5.00,3.287
486,5.00,3.287
488,5.00,3.286
490,5.00,3.286
492,5.00,3.286
494,5.00,3.286
496,5.00,3.286
498,5.00,3.286
500,5.00,3.286
502,5.00,3.285
504,5.00,3.285
506,5.00,3.285
508,5.00,3.284
510,5.00,3.284
512,5.00,3.284
514,5.00,3.284
516,5.00,3.284
518,5.00,3.283
520,5.00,3.283
522,5.00,3.283
524,5.00,3.283
526,5.00,3.283
528,5.00,3.283
530,5.00,3.283
532,5.00,3.283
534,5.00,3.283
536,5.00,3.282
538,5.00,3.282
540,5.00,3.282
542,5.00,3.282
544,5.00,3.282
546,5.00,3.282
548,5.00,3.282
550,5.00,3.282
552,5.00,3.282
554,5.00,3.282
556,5.00,3.282
558,5.00,3.282
560,5.00,3.282
562,5.00,3.282
564,5.00,3.282
566,5.00,3.282
568,5.00,3.282
570,5.00,3.282
572,5.00,3.282
574,5.00,3.282
576,5.00,3.282
578,5.00,3.282
580,5.00,3.282
582,5.00,3.282
584,5.00,3.282
586,5.00,3.282
588,5.00,3.282
590,5.00,3.282
592,5.00,3.282
594,5.00,3.282
596,5.00,3.282
598,5.00,3.282
600,5.00,3.282
602,5.00,3.282
604,5.00,3.282
606,5.00,3.282
608,5.00,3.282
610,5.00,3.282
612,5.00,3.282
614,5.00,3.282
616,5.00,3.282
618,5.00,3.282
620,5.00,3.282
622,5.00,3.282
624,5.00,3.282
626,5.00,3.282
628,5.00,3.282
630,5.00,3.282
632,5.00,3.282
634,5.00,3.282
636,5.00,3.282
638,5.00,3.282
640,5.00,3.282
642,5.00,3.282
644,5.00,3.282
646,5.00,3.282
648,5.00,3.282
650,5.00,3.282
652,5.00,3.282
654,5.00,3.282
656,5.00,3.282
658,5.00,3.282
660,5.00,3.282
662,5.00,3.282
664,5.00,3.282
666,5.00,3.282
668,5.00,3.282
670,5.00,3.282
672,5.00,3.282
674,5.00,3.282
676,5.00,3.282
678,5.00,3.282
680,5.00,3.282
682,5.00,3.282
684,5.00,3.282
686,5.00,3.282
688,5.00,3.282
690,5.00,3.282
692,5.00,3.282
694,5.00,3.282
696,5.00,3.282
698,5.00,3.282
700,5.00,3.282
702,5.00,3.282
704,5.00,3.282
706,5.00,3.282
708,5.00,3.282
710,5.00,3.282
712,5.00,3.282
714,5.00,3.282
716,5.00,3.282
718,5.00,3.282
720,5.00,3.282
722,5.00,3.282
724,5.00,3.282
726,5.00,3.282
728,5.00,3.282
730,5.00,3.282
732,5.00,3.282
734,5.00,3.282
736,5.00,3.282
738,5.00,3.282
740,5.00,3.282
742,5.00,3.282
744,5.00,3.282
746,5.00,3.282
748,5.00,3.282
750,5.00,3.282
752,5.00,3.282
754,5.00,3.282
756,5.00,3.282
758,5.00,3.282
760,5.00,3.282
762,5.00,3.282
764,5.00,3.282
766,5.00,3.282
768,5.00,3.282
770,5.00,3.282
772,5.00,3.282
774,5.00,3.282
776,5.00,3.282
778,5.00,3.282
780,5.00,3.282
782,5.00,3.282
784,5.00,3.282
786,5.00,3.282
788,5.00,3.282
790,5.00,3.282
792,5.00,3.282
794,5.00,3.282
796,5.00,3.282
798,5.00,3.282
800,5.00,3.282
802,5.00,3.282
804,5.00,3.282
806,5.00,3.282
808,5.00,3.282
810,5.00,3.282
812,5.00,3.282
814,5.00,3.282
816,5.00,3.282
818,5.00,3.282
820,5.00,3.282
822,5.00,3.282
824,5.00,3.282
826,5.00,3.282
828,5.00,3.282
830,5.00,3.282
832,5.00,3.282
834,5.00,3.282
836,5.00,3.282
838,5.00,3.282
840,5.00,3.282
842,5.00,3.282
844,5.00,3.282
846,5.00,3.282
848,5.00,3.282
850,5.00,3.282
852,5.00,3.282
854,5.00,3.282
856,5.00,3.282
858,5.00,3.282
860,5.00,3.282
862,5.00,3.282
864,5.00,3.282
866,5.00,3.282
868,5.00,3.282
870,5.00,3.282
872,5.00,3.282
874,5.00,3.282
876,5.00,3.282
878,5.00,3.282
880,5.00,3.282
882,5.00,3.281
884,5.00,3.282
886,5.00,3.282
888,5.00,3.282
890,5.00,3.281
892,5.00,3.282
894,5.00,3.282
896,5.00,3.282
898,5.00,3.282
900,5.00,3.282
902,5.00,3.281
904,5.00,3.282
906,5.00,3.282
908,5.00,3.281
910,5.00,3.282
912,5.00,3.282
914,5.00,3.282
916,5.00,3.282
918,5.00,3.281
920,5.00,3.282
922,5.00,3.281
924,5.00,3.282
926,5.00,3.282
928,5.00,3.281
930,5.00,3.282
932,5.00,3.281
934,5.00,3.281
936,5.00,3.281
938,5.00,3.282
940,5.00,3.281
942,5.00,3.281
944,5.00,3.281
946,5.00,3.281
948,5.00,3.281
950,5.00,3.281
952,5.00,3.281
954,5.00,3.281
956,5.00,3.281
