=== BAGIAN 1: PARAMETER KAPASITAS BATERAI ===
Parameter,Nilai,Satuan
Kapasitas Nominal (Q_Ah),20.7986,Ah
Kapasitas Nominal (Q_As),74874.8000,Ampere-sekon


=== BAGIAN 2: TABEL TRUE OCV (LOOK-UP TABLE) ===
SOC,OCV (V)
0.0,2.655
0.09884901195061613,3.194
0.21243195307366414,3.223
0.3260015385683833,3.253
0.43951102373562256,3.282
0.553234198956124,3.288
0.6670174745041055,3.289
0.780667193768798,3.297
0.8943770133609705,3.326
1.0,3.537


=== BAGIAN 3: PARAMETER DINAMIS ECM (R0, R1, C1) ===
SOC (%),R0 (Ohm),R1 (Ohm),C1 (Farad),Tau (s)
0.0,0.006050000000000022,0.009500011664387999,11281.154902919523,71.78382562406746
9.090241309492642,0.0028000000000000026,0.002506330367563646,20591.86262038584,51.61001061017174
20.461891050126326,0.0028000000000000026,0.0022075950826103783,24841.488076080066,54.8399469214787
31.80549397126936,0.0028999999999999916,0.0022122996101794517,15061.404777460237,33.32033991793021
43.16979811632217,0.0027000000000000136,0.0023722017001248626,20897.75015768967,49.57367845285604
54.542115638372316,0.002400000000000002,0.002436165990177112,19607.70809129927,47.76763159734386
65.90708756484158,0.0028999999999999916,0.002374325507080654,15177.978102348945,36.03746055431872
77.27873730547526,0.0021999999999999797,0.0023458492918533797,16580.74023587785,38.89591774073889
88.64304145052809,0.0028000000000000026,0.0026842660966356876,24189.0892443132,64.92995216700488


=== BAGIAN 4: HISTORI VALIDASI EKF VS COULOMB COUNTING ===
Catatan: Data di bawah ini adalah rekaman deret waktu (time-series) dari pengujian Urban Load.
Time (s),Current (A),Voltage (V),V_EKF_Pred,Err_V (mV),SOC_CC (%),SOC_EKF (%)
0,0.0,3.42,3.42,0.0,94.14318036172206,94.14318036172206
1,15.0,3.377,3.372724999000961,4.27500099903888,94.12314691922872,94.17320855643226
2,15.0,3.3674999999999997,3.3741427427057005,6.642742705700755,94.10311347673537,94.1110655944322
3,15.0,3.358,3.36985101382793,11.851013827929968,94.08308003424204,94.0453613551067
4,15.0,3.3529999999999998,3.3630604492602725,10.06044926027272,94.0630465917487,93.99855784658544
5,15.0,3.348,3.35725204588019,9.252045880190352,94.04301314925536,93.95923411759472
6,15.0,3.3434999999999997,3.351910873087427,8.410873087427273,94.02297970676202,93.9239859480698
7,15.0,3.339,3.3470453236214905,8.045323621490574,94.00294626426869,93.89043985505002
8,15.0,3.3354999999999997,3.342413966016906,6.913966016906414,93.98291282177534,93.85919137891275
9,15.0,3.332,3.3383936892806014,6.393689280601578,93.962879379282,93.82892896905871
10,15.0,3.3289999999999997,3.334674558044618,5.674558044618472,93.94284593678867,93.79984506919304
11,15.0,3.326,3.331351601664135,5.351601664135064,93.92281249429533,93.77125728684538
12,15.0,3.3225,3.328223838797494,5.723838797494274,93.90277905180199,93.74203039434501
13,15.0,3.319,3.324944519027846,5.944519027845985,93.88274560930864,93.71239105267037
14,15.0,3.318,3.321590583733403,3.59058373340293,93.86271216681531,93.68651681987555
15,15.0,3.317,3.319438548687241,2.4385486872406936,93.84267872432197,93.66248922061509
16,15.0,3.314,3.3178785474665227,3.8785474665226083,93.82264528182863,93.63605868436578
17,15.0,3.311,3.315619330147098,4.619330147098033,93.8026118393353,93.60835294797711
18,15.0,3.309,3.313015705706668,4.015705706667649,93.78257839684196,93.58160304564295
19,15.0,3.307,3.3107378443206805,3.7378443206805834,93.76254495434861,93.55527427480054
20,15.0,3.3049999999999997,3.3086204659035467,3.620465903547032,93.74251151185527,93.52910092498625
21,15.0,3.303,3.3065821535028963,3.582153502896368,93.72247806936194,93.50295071592224
22,15.0,3.3005,3.3045828007827946,4.08280078279466,93.7024446268686,93.47589793239936
23,15.0,3.298,3.3023549812650694,4.354981265069391,93.68241118437525,93.44832628104601
24,15.0,3.2969999999999997,3.3000146296207493,3.0146296207496093,93.66237774188193,93.42303940423578
25,15.0,3.296,3.2983618248924818,2.361824892481934,93.64234429938858,93.39886254170034
26,15.0,3.2935,3.297047731900362,3.547731900362283,93.62231085689524,93.37256385725297
27,15.0,3.291,3.2951575746923223,4.157574692322363,93.6022774144019,93.3451396760114
28,15.0,3.29,3.292983635120194,2.9836351201941724,93.58224397190857,93.31976746094102
29,15.0,3.289,3.2914127922692438,2.4127922692436243,93.56221052941522,93.29538850906228
