=== BAGIAN 1: PARAMETER KAPASITAS BATERAI ===
Parameter,Nilai,Satuan
Kapasitas Nominal (Q_Ah),20.7986,Ah
Kapasitas Nominal (Q_As),74874.8000,Ampere-sekon


=== BAGIAN 2: TABEL TRUE OCV (LOOK-UP TABLE) ===
SOC,OCV (V)
0.0,2.655
0.09884901195061613,3.194
0.21243195307366414,3.223
0.3260015385683833,3.253
0.43951102373562256,3.282
0.553234198956124,3.288
0.6670174745041055,3.289
0.780667193768798,3.297
0.8943770133609705,3.326
1.0,3.537


=== BAGIAN 3: PARAMETER DINAMIS ECM (R0, R1, C1) ===
SOC (%),R0 (Ohm),R1 (Ohm),C1 (Farad),Tau (s)
0.0,0.006050000000000022,0.009500011664387999,11281.154902919523,71.78382562406746
9.090241309492642,0.0028000000000000026,0.002506330367563646,20591.86262038584,51.61001061017174
20.461891050126326,0.0028000000000000026,0.0022075950826103783,24841.488076080066,54.8399469214787
31.80549397126936,0.0028999999999999916,0.0022122996101794517,15061.404777460237,33.32033991793021
43.16979811632217,0.0027000000000000136,0.0023722017001248626,20897.75015768967,49.57367845285604
54.542115638372316,0.002400000000000002,0.002436165990177112,19607.70809129927,47.76763159734386
65.90708756484158,0.0028999999999999916,0.002374325507080654,15177.978102348945,36.03746055431872
77.27873730547526,0.0021999999999999797,0.0023458492918533797,16580.74023587785,38.89591774073889
88.64304145052809,0.0028000000000000026,0.0026842660966356876,24189.0892443132,64.92995216700488


=== BAGIAN 4: HISTORI VALIDASI EKF VS COULOMB COUNTING ===
Catatan: Data di bawah ini adalah rekaman deret waktu (time-series) dari pengujian Urban Load.
Time (s),Current (A),Voltage (V),V_EKF_Pred,SOC_CC (%),SOC_EKF (%)
0,0.0,3.42,3.42,94.14318036172206,94.14318036172206
1,15.0,3.377,3.372724999000961,94.12314691922872,94.13104706525634
2,15.0,3.3674999999999997,3.3720080710908746,94.10311347673537,94.10298008581005
3,15.0,3.358,3.3708995997410462,94.08308003424204,94.06074400906667
4,15.0,3.3529999999999998,3.369434978817504,94.0630465917487,94.01334735537648
5,15.0,3.348,3.367837890408532,94.04301314925536,93.96131858679082
6,15.0,3.3434999999999997,3.366119130594285,94.02297970676202,93.90589739571065
7,15.0,3.339,3.3643088271800554,94.00294626426869,93.84740477824465
8,15.0,3.3354999999999997,3.362413732380516,93.98291282177534,93.78759797754549
9,15.0,3.332,3.3604798143795964,93.962879379282,93.72658548229522
10,15.0,3.3289999999999997,3.358509504448694,93.94284593678867,93.66516279407132
11,15.0,3.326,3.3565243990624882,93.92281249429533,93.60335133047137
12,15.0,3.3225,3.3545251282531683,93.90277905180199,93.54050028568605
13,15.0,3.319,3.3524933353341813,93.88274560930864,93.47667848681752
14,15.0,3.318,3.3504307642746105,93.86271216681531,93.41514507310094
15,15.0,3.317,3.3484315023376667,93.84267872432197,93.3557065679052
16,15.0,3.314,3.3464913082832015,93.82264528182863,93.29573006184336
17,15.0,3.311,3.344533808536841,93.8026118393353,93.23523704620877
18,15.0,3.309,3.3425597353944885,93.78257839684196,93.17543093545608
19,15.0,3.307,3.3406053676212832,93.76254495434861,93.11624555365506
20,15.0,3.3049999999999997,3.3386693236801057,93.74251151185527,93.05762025087479
21,15.0,3.303,3.3367503349378516,93.72247806936194,92.99949930948375
22,15.0,3.3005,3.3348472340010464,93.7024446268686,92.94127548057018
23,15.0,3.298,3.332941681868103,93.68241118437525,92.88293594832399
24,15.0,3.2969999999999997,3.331033589593958,93.66237774188193,92.82609074110563
25,15.0,3.296,3.3291739970638847,93.64234429938858,92.77063194324295
26,15.0,3.2935,3.3273602365664834,93.62231085689524,92.714878089195
27,15.0,3.291,3.3255392984073966,93.6022774144019,92.65882720888528
28,15.0,3.29,3.323711361388773,93.58224397190857,92.60402399995388
29,15.0,3.289,3.3219265952887684,93.56221052941522,92.55038256824001
30,15.0,3.2875,3.32018275717541,93.54217708692188,92.49731828615445
31,15.0,3.286,3.3184612358893677,93.52214364442855,92.44478378930503
32,15.0,3.284,3.316760836719399,93.50211020193521,92.3922388769005
33,15.0,3.282,3.315064067329616,93.48207675944187,92.33966700062018
34,15.0,3.281,3.313370626897863,93.46204331694852,92.28802885113043
35,15.0,3.279333333333333,3.3117127282964205,93.4420098744552,92.23661754536293
36,15.0,3.2776666666666667,3.3100670573476405,93.42197643196185,92.18540633748992
37,15.0,3.276,3.3084329483228716,93.40194298946851,92.13437015744779
38,15.0,3.2755,3.306809773705033,93.38190954697517,92.08459376339675
39,15.0,3.275,3.3052343609866286,93.36187610448184,92.03600677453893
40,15.0,3.2744999999999997,3.30370452320152,93.3418426619885,91.98854355488588
41,15.0,3.274,3.3022181899203162,93.32180921949515,91.94214283118114
42,15.0,3.2720000000000002,3.300773399589251,93.30177577700182,91.89535246801208
43,15.0,3.27,3.29932068708651,93.28174233450848,91.8481754841091
44,15.0,3.2685,3.297860299779321,93.26170889201514,91.80107548164274
45,15.0,3.267,3.2964082707674063,93.2416754495218,91.75403671739319
46,15.0,3.2664999999999997,3.294964166001207,93.22164200702846,91.70795930561043
47,15.0,3.266,3.2935590399122048,93.20160856453512,91.66279440229113
48,15.0,3.263,3.2921912029968876,93.18157512204178,91.61622337443217
49,15.0,3.2623333333333333,3.2907806681630625,93.16154167954845,91.57040222126884
50,15.0,3.2616666666666667,3.2894021356968524,93.1415082370551,91.52529212132953
51,15.0,3.261,3.2880542299396835,93.12147479456176,91.48085649753591
52,15.0,3.2605,3.2867356398533225,93.10144135206842,91.43721086173157
53,15.0,3.26,3.2854503082514435,93.08140790957509,91.394317412096
54,15.0,3.26,3.2841968347213646,93.06137446708175,91.35258876646392
55,15.0,3.2595,3.282989420043639,93.0413410245884,91.31152827351417
56,15.0,3.259,3.281810652578725,93.02130758209508,91.27110471039092
57,15.0,3.2583333333333333,3.280659339009608,93.00127413960173,91.2311397449279
58,15.0,3.2576666666666667,3.279529178496651,92.98124069710839,91.19161034266735
59,15.0,3.257,3.2784192851836664,92.96120725461505,91.1524946790704
60,15.0,3.256,3.277328812546408,92.94117381212172,91.1134753459729
61,15.0,3.255333333333333,3.276246659522378,92.92114036962838,91.07483879262854
62,15.0,3.2546666666666666,3.2751827365762223,92.90110692713503,91.03656599141812
63,15.0,3.254,3.2741362879889704,92.88107348464169,90.99863887245829
64,15.0,3.253,3.273106590809297,92.86104004214836,90.96074415660024
65,15.0,3.253,3.2720826943430885,92.84100659965502,90.9237628924083
66,15.0,3.253,3.2710950877583818,92.82097315716167,90.88766082025231
67,15.0,3.253,3.2701423327432573,92.80093971466835,90.85240532523281
68,15.0,3.252,3.2692230517312715,92.780906272175,90.8170773116615
69,15.0,3.252,3.2683052261281733,92.76087282968166,90.78256233778995
70,15.0,3.252,3.2674194476892375,92.74083938718832,90.74883108074017
71,15.0,3.252,3.266564459170745,92.72080594469499,90.71585556576926
72,15.0,3.251,3.265739055621318,92.70077250220164,90.68272016276465
73,15.0,3.25,3.2649114434036797,92.6807390597083,90.64942585557928
74,15.0,3.249,3.264081677833031,92.66070561721497,90.61597360294384
75,15.0,3.248666666666667,3.2632498122651095,92.64067217472163,90.58295782632939
76,15.0,3.2483333333333335,3.2624363000725496,92.62063873222829,90.55036198276034
77,15.0,3.248,3.2616404203086122,92.60060528973494,90.51817025476791
78,15.0,3.2475,3.2608614814456724,92.58057184724161,90.48621885238911
79,15.0,3.247,3.260093724462509,92.56053840474827,90.45449762699643
80,15.0,3.247,3.2593367046018233,92.54050496225493,90.42344353185729
81,15.0,3.2466666666666666,3.258605274080863,92.5204715197616,90.39273633356534
82,15.0,3.2463333333333333,3.257888266565177,92.50043807726826,90.36236334483732
83,15.0,3.246,3.2571851205062554,92.48040463477491,90.33231241059843
84,15.0,3.2455,3.256495296950254,92.46037119228157,90.30242247764889
85,15.0,3.245,3.2558131898298535,92.44033774978824,90.27268666381235
86,15.0,3.245,3.2551384927452327,92.4203043072949,90.2435474463101
87,15.0,3.245,3.2544861730433396,92.40027086480156,90.21498567870565
88,15.0,3.245,3.2538553790931246,92.38023742230823,90.18698297935866
89,15.0,3.245,3.253245293063253,92.36020397981488,90.1595216958763
90,15.0,3.245,3.2526551295412442,92.34017053732154,90.13258487151815
91,15.0,3.245,3.2520841342105298,92.3201370948282,90.10615621342983
92,15.0,3.245,3.251531582583008,92.30010365233487,90.08022006258867
93,15.0,3.245,3.2509967787848,92.28007020984153,90.05476136535383
94,15.0,3.245,3.2504790543929394,92.26003676734818,90.02976564651972
95,15.0,3.245,3.2499777673208685,92.24000332485485,90.00521898377953
96,15.0,3.245,3.249492300750644,92.21996988236151,89.98110798351166
97,15.0,3.245,3.249022062109875,92.19993643986817,89.95741975780807
98,15.0,3.245,3.2485664820914697,92.17990299737482,89.93414190266896
