=== BAGIAN 1: PARAMETER KAPASITAS BATERAI ===
Parameter,Nilai,Satuan
Kapasitas Nominal (Q_Ah),20.7986,Ah
Kapasitas Nominal (Q_As),74874.8000,Ampere-sekon


=== BAGIAN 2: TABEL TRUE OCV (LOOK-UP TABLE) ===
SOC,OCV (V)
0.0,2.655
0.09884901195061613,3.194
0.21243195307366414,3.223
0.3260015385683833,3.253
0.43951102373562256,3.282
0.553234198956124,3.288
0.6670174745041055,3.289
0.780667193768798,3.297
0.8943770133609705,3.326
1.0,3.537


=== BAGIAN 3: PARAMETER DINAMIS ECM (R0, R1, C1) ===
SOC (%),R0 (Ohm),R1 (Ohm),C1 (Farad),Tau (s)
0.0,0.006050000000000022,0.009500011664387999,11281.154902919523,71.78382562406746
9.090241309492642,0.0028000000000000026,0.002506330367563646,20591.86262038584,51.61001061017174
20.461891050126326,0.0028000000000000026,0.0022075950826103783,24841.488076080066,54.8399469214787
31.80549397126936,0.0028999999999999916,0.0022122996101794517,15061.404777460237,33.32033991793021
43.16979811632217,0.0027000000000000136,0.0023722017001248626,20897.75015768967,49.57367845285604
54.542115638372316,0.002400000000000002,0.002436165990177112,19607.70809129927,47.76763159734386
65.90708756484158,0.0028999999999999916,0.002374325507080654,15177.978102348945,36.03746055431872
77.27873730547526,0.0021999999999999797,0.0023458492918533797,16580.74023587785,38.89591774073889
88.64304145052809,0.0028000000000000026,0.0026842660966356876,24189.0892443132,64.92995216700488


=== BAGIAN 4: HISTORI VALIDASI EKF VS COULOMB COUNTING ===
Catatan: Data di bawah ini adalah rekaman deret waktu (time-series) dari pengujian Urban Load.
Time (s),Current (A),Voltage (V),V_EKF_Pred,Err_V (mV),SOC_CC (%),SOC_EKF (%)
0,0.0,3.42,3.42,0.0,94.14318036172206,94.14318036172206
1,15.0,3.377,3.372724999000961,4.27500099903888,94.12314691922872,94.18950230913642
2,15.0,3.3674999999999997,3.3747024801749093,7.202480174909542,94.10311347673537,94.08426639876114
3,15.0,3.358,3.3690167002716525,11.016700271652358,94.08308003424204,93.94569685990989
4,15.0,3.3529999999999998,3.3608706291446118,7.870629144612007,94.0630465917487,93.84319358392008
5,15.0,3.348,3.3548680978962837,6.868097896283842,94.04301314925536,93.75142235065604
6,15.0,3.3434999999999997,3.3495770937924005,6.077093792400845,94.02297970676202,93.66763236184528
7,15.0,3.339,3.344852074022423,5.852074022422826,94.00294626426869,93.58578486268704
8,15.0,3.3354999999999997,3.340314971272183,4.814971272183222,93.98291282177534,93.51450954316213
9,15.0,3.332,3.3364992602678427,4.499260267842864,93.962879379282,93.446226992819
10,15.0,3.3289999999999997,3.3329230091626343,3.92300916263455,93.94284593678867,93.38380229327484
11,15.0,3.326,3.3297556669104513,3.7556669104512608,93.92281249429533,93.32287873417594
12,15.0,3.3225,3.3267240689001163,4.224068900116507,93.90277905180199,93.25651145061636
13,15.0,3.319,3.323408099418282,4.408099418282241,93.88274560930864,93.1877672833901
14,15.0,3.318,3.3199975828679857,1.997582867985681,93.86271216681531,93.14549800551305
15,15.0,3.317,3.3182022693991295,1.2022693991293742,93.84267872432197,93.11198569182531
16,15.0,3.314,3.316943742082235,2.9437420822349125,93.82264528182863,93.05871757654444
17,15.0,3.311,3.3145464463151018,3.5464463151018144,93.8026118393353,92.99836518765139
18,15.0,3.309,3.3117704684228895,2.770468422889305,93.78257839684196,92.94661596158961
19,15.0,3.307,3.3095269738921047,2.526973892104767,93.76254495434861,92.89745619629619
20,15.0,3.3049999999999997,3.3074605159390265,2.4605159390267417,93.74251151185527,92.84887111491605
21,15.0,3.303,3.305452889118526,2.452889118526258,93.72247806936194,92.80018507563219
22,15.0,3.3005,3.3034647771497383,2.964777149738307,93.7024446268686,92.74529195489069
23,15.0,3.298,3.301153964220313,3.15396422031311,93.68241118437525,92.68793259694525
24,15.0,3.2969999999999997,3.298735690610576,1.7356906105763237,93.66237774188193,92.64722520214045
25,15.0,3.296,3.2972688375543426,1.2688375543428165,93.64234429938858,92.61198311777976
26,15.0,3.2935,3.296118689503564,2.618689503564031,93.62231085689524,92.5603672016332
27,15.0,3.291,3.294086835562256,3.086835562255974,93.6022774144019,92.5028755075471
28,15.0,3.29,3.2917612881102283,1.761288110228243,93.58224397190857,92.46133774224054
29,15.0,3.289,3.2903248266035754,1.3248266035752465,93.56221052941522,92.42503176133965
30,15.0,3.2875,3.2891845084810565,1.6845084810563904,93.54217708692188,92.38418617741769
31,15.0,3.286,3.2878138779882624,1.8138779882623801,93.52214364442855,92.34161188355357
32,15.0,3.284,3.2863664526918845,2.366452691884735,93.50211020193521,92.29200156749408
33,15.0,3.282,3.284564481086008,2.5644810860079303,93.48207675944187,92.23973266730913
34,15.0,3.281,3.282644268365387,1.6442683653870027,93.46204331694852,92.19891329948615
35,15.0,3.279333333333333,3.28134229342891,2.0089600955768283,93.4420098744552,92.15334252355476
36,15.0,3.2776666666666667,3.279807979112117,2.1413124454503496,93.42197643196185,92.10593962774284
37,15.0,3.276,3.2781961306893543,2.1961306893545363,93.40194298946851,92.05768320750835
38,15.0,3.2755,3.2765583706003727,1.0583706003726157,93.38190954697517,92.02397511245391
39,15.0,3.275,3.2756790483467575,0.6790483467575825,93.36187610448184,91.9951221231134
40,15.0,3.2744999999999997,3.275052757850295,0.5527578502952935,93.3418426619885,91.96787274348053
41,15.0,3.274,3.2745108917603445,0.5108917603444674,93.32180921949515,91.9411364891172
42,15.0,3.2720000000000002,3.2739971923956315,1.997192395631231,93.30177577700182,91.89477105018582
43,15.0,3.27,3.272506777024984,2.5067770249838084,93.28174233450848,91.8415220540604
44,15.0,3.2685,3.270690236025354,2.1902360253540643,93.26170889201514,91.79232179141562
45,15.0,3.267,3.2690934068883326,2.093406888332705,93.2416754495218,91.74427287675549
46,15.0,3.2664999999999997,3.2675698993154425,1.0698993154427683,93.22164200702846,91.70985132253735
47,15.0,3.266,3.266728063472393,0.7280634723931811,93.20160856453512,91.67998052693612
48,15.0,3.263,3.2661139103577654,3.113910357765537,93.18157512204178,91.61767931478185
49,15.0,3.2623333333333333,3.26393290735574,1.5995740224066246,93.16154167954845,91.57583024304444
50,15.0,3.2616666666666667,3.2627615782786696,1.0949116120029245,93.1415082370551,91.54079500854394
51,15.0,3.261,3.2619276204588905,0.927620458890388,93.12147479456176,91.50799490861762
52,15.0,3.2605,3.2612063962745514,0.7063962745514907,93.10144135206842,91.47819684687455
53,15.0,3.26,3.260632338663449,0.63233866344925,93.08140790957509,91.44938498471035
54,15.0,3.26,3.2601074695956185,0.10746959561869218,93.06137446708175,91.4278533104045
55,15.0,3.2595,3.2599275145486155,0.4275145486154486,93.0413410245884,91.40183547828926
56,15.0,3.259,3.259534449442594,0.534449442594287,93.02130758209508,91.37429042194354
57,15.0,3.2583333333333333,3.259070104455533,0.7367711221997197,93.00127413960173,91.3438601670628
58,15.0,3.2576666666666667,3.2584724316503983,0.8057649837316383,92.98124069710839,91.31241094376094
59,15.0,3.257,3.2578301419575637,0.8301419575635904,92.96120725461505,91.28056985072006
60,15.0,3.256,3.257172909205384,1.172909205384265,92.94117381212172,91.24378812259309
61,15.0,3.255333333333333,3.25629173542721,0.9584020938766535,92.92114036962838,91.21001601375193
62,15.0,3.2546666666666666,3.255554505390826,0.8878387241595398,92.90110692713503,91.17720656874629
63,15.0,3.254,3.2548654353079907,0.8654353079906585,92.88107348464169,91.1446724704655
64,15.0,3.253,3.25419246981318,1.1924698131799971,92.86104004214836,91.10735047380693
65,15.0,3.253,3.253305995872223,0.30599587222290836,92.84100659965502,91.08286421176825
66,15.0,3.253,3.2530046303318287,0.0046303318286256,92.82097315716167,91.06276314893013
67,15.0,3.253,3.252899204965651,0.10079503434923254,92.80093971466835,91.04420677201605
68,15.0,3.252,3.252859417856232,0.8594178562320032,92.780906272175,91.0115368959621
69,15.0,3.252,3.252185080695324,0.18508069532430227,92.76087282968166,90.98877279123823
70,15.0,3.252,3.2519546848907925,0.045315109207244575,92.74083938718832,90.96941015141786
71,15.0,3.252,3.2518730310917423,0.1269689082574743,92.72080594469499,90.95126232962382
72,15.0,3.251,3.2518412330729243,0.8412330729243855,92.70077250220164,90.91869609315194
73,15.0,3.25,3.2511697004228095,1.1697004228095054,92.6807390597083,90.88117976991381
74,15.0,3.249,3.250283751779782,1.2837517797819054,92.66070561721497,90.8418957932885
75,15.0,3.248666666666667,3.249325913513553,0.65924684688623,92.64067217472163,90.81194415483606
76,15.0,3.2483333333333335,3.248781531196594,0.44819786326044664,92.62063873222829,90.78514632766618
77,15.0,3.248,3.248375749380047,0.37574938004691916,92.60060528973494,90.75942448457528
78,15.0,3.2475,3.248016436548079,0.516436548078758,92.58057184724161,90.73154929570957
79,15.0,3.247,3.2475633232421646,0.5633232421646817,92.56053840474827,90.70293669971197
80,15.0,3.247,3.2470787497493054,0.07874974930555112,92.54050496225493,90.68170040081209
