-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,C-CV,21.15,70.64
*1-2,Wait,0,0
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,2.487
0,0.00,2.487
1,5.00,2.517
3,5.00,2.531
5,5.00,2.545
7,5.00,2.553
9,5.00,2.560
11,5.00,2.568
13,5.00,2.575
15,5.00,2.582
17,5.00,2.589
19,5.00,2.597
21,5.00,2.603
23,5.00,2.610
25,5.00,2.611
27,5.00,2.619
29,5.00,2.625
31,5.00,2.629
33,5.00,2.633
35,5.00,2.640
37,5.00,2.645
39,5.00,2.648
41,5.00,2.654
43,5.00,2.655
45,5.00,2.662
47,5.00,2.668
49,5.00,2.670
51,5.00,2.676
53,5.00,2.677
55,5.00,2.683
57,5.00,2.684
59,5.00,2.691
61,5.00,2.691
63,5.00,2.699
65,5.00,2.701
67,5.00,2.706
69,5.00,2.706
71,5.00,2.713
73,5.00,2.713
75,5.00,2.721
77,5.00,2.721
79,5.00,2.727
81,5.00,2.728
83,5.00,2.734
85,5.00,2.735
87,5.00,2.735
89,5.00,2.742
91,5.00,2.742
93,5.00,2.749
95,5.00,2.750
97,5.00,2.750
99,5.00,2.756
101,5.00,2.757
103,5.00,2.758
105,5.00,2.763
107,5.00,2.764
109,5.00,2.766
111,5.00,2.771
113,5.00,2.772
115,5.00,2.774
117,5.00,2.779
119,5.00,2.779
121,5.00,2.780
123,5.00,2.786
125,5.00,2.786
127,5.00,2.787
129,5.00,2.793
131,5.00,2.794
133,5.00,2.794
135,5.00,2.795
137,5.00,2.800
139,5.00,2.801
141,5.00,2.805
143,5.00,2.807
145,5.00,2.808
147,5.00,2.808
149,5.00,2.814
151,5.00,2.815
153,5.00,2.815
155,5.00,2.816
157,5.00,2.822
159,5.00,2.823
161,5.00,2.823
163,5.00,2.825
165,5.00,2.829
167,5.00,2.830
169,5.00,2.830
171,5.00,2.834
173,5.00,2.836
175,5.00,2.837
177,5.00,2.837
179,5.00,2.839
181,5.00,2.844
183,5.00,2.845
185,5.00,2.845
187,5.00,2.845
189,5.00,2.851
191,5.00,2.852
193,5.00,2.852
195,5.00,2.852
197,5.00,2.856
199,5.00,2.859
201,5.00,2.859
203,5.00,2.859
205,5.00,2.860
207,5.00,2.866
209,5.00,2.866
211,5.00,2.866
213,5.00,2.866
215,5.00,2.871
217,5.00,2.873
219,5.00,2.874
221,5.00,2.874
223,5.00,2.874
225,5.00,2.880
227,5.00,2.880
229,5.00,2.881
231,5.00,2.881
233,5.00,2.881
235,5.00,2.886
237,5.00,2.887
239,5.00,2.887
241,5.00,2.888
243,5.00,2.888
245,5.00,2.893
247,5.00,2.895
249,5.00,2.896
251,5.00,2.896
253,5.00,2.896
255,5.00,2.897
257,5.00,2.902
259,5.00,2.903
261,5.00,2.903
263,5.00,2.903
265,5.00,2.903
267,5.00,2.909
269,5.00,2.909
271,5.00,2.910
273,5.00,2.910
275,5.00,2.910
277,5.00,2.910
279,5.00,2.916
281,5.00,2.917
283,5.00,2.917
285,5.00,2.917
287,5.00,2.917
289,5.00,2.919
291,5.00,2.924
293,5.00,2.925
295,5.00,2.925
297,5.00,2.925
299,5.00,2.925
301,5.00,2.927
303,5.00,2.931
305,5.00,2.931
307,5.00,2.932
309,5.00,2.932
311,5.00,2.932
313,5.00,2.933
315,5.00,2.938
317,5.00,2.938
319,5.00,2.939
321,5.00,2.939
323,5.00,2.939
325,5.00,2.939
