-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,D-CC,2.196,7.177
*1-2,Wait,0,0
*1-3,D-CC,0.165,0.541
*1-4,Wait,0,0
*2-1,D-CC,2.195,7.111
*2-2,Wait,0,0
*2-3,D-CC,0.165,0.536
*2-4,Wait,0,0
*3-1,D-CC,2.196,7.085
*3-2,Wait,0,0
*3-3,D-CC,0.165,0.535
*3-4,Wait,0,0
*4-1,D-CC,2.196,7.069
*4-2,Wait,0,0
*4-3,D-CC,0.163,0.528
*4-4,Wait,0,0
*5-1,D-CC,2.198,7.055
*5-2,Wait,0,0
*5-3,D-CC,0.164,0.531
*5-4,Wait,0,0
*6-1,D-CC,2.196,7.015
*6-2,Wait,0,0
*6-3,D-CC,0.164,0.526
*6-4,Wait,0,0
*7-1,D-CC,2.196,6.951
*7-2,Wait,0,0
*7-3,D-CC,0.163,0.517
*7-4,Wait,0,0
*8-1,D-CC,2.197,6.869
*8-2,Wait,0,0
*8-3,D-CC,0.164,0.515
*8-4,Wait,0,0
*9-1,D-CC,1.890,5.543
*9-2,Wait,0,0
*9-3,D-CC,0.164,0.435
*9-4,Wait,0,0
*10-1,D-CC,0.031,0.079
*10-2,Wait,0,0
*10-3,D-CC,0.163,0.393
*10-4,Wait,0,0
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,3.530
0,0.00,3.530
1,11.00,3.474
3,11.00,3.442
5,11.00,3.421
7,11.00,3.410
9,11.00,3.399
11,11.00,3.390
13,11.00,3.384
15,11.00,3.377
17,11.00,3.372
19,11.00,3.369
21,11.00,3.362
23,11.00,3.358
25,11.00,3.354
27,11.00,3.349
29,11.00,3.347
31,11.00,3.342
33,11.00,3.340
35,11.00,3.336
37,11.00,3.333
39,11.00,3.331
41,11.00,3.326
43,11.00,3.325
45,11.00,3.320
47,11.00,3.318
49,11.00,3.317
51,11.00,3.314
53,11.00,3.311
55,11.00,3.310
57,11.00,3.307
59,11.00,3.304
61,11.00,3.304
63,11.00,3.303
65,11.00,3.298
67,11.00,3.297
69,11.00,3.297
71,11.00,3.295
73,11.00,3.291
75,11.00,3.289
77,11.00,3.289
79,11.00,3.288
81,11.00,3.286
83,11.00,3.284
85,11.00,3.282
87,11.00,3.282
89,11.00,3.281
91,11.00,3.280
93,11.00,3.278
95,11.00,3.276
97,11.00,3.275
99,11.00,3.275
101,11.00,3.275
103,11.00,3.274
105,11.00,3.274
107,11.00,3.272
109,11.00,3.270
111,11.00,3.269
113,11.00,3.268
115,11.00,3.267
117,11.00,3.267
119,11.00,3.266
121,11.00,3.266
123,11.00,3.266
125,11.00,3.266
127,11.00,3.264
129,11.00,3.264
131,11.00,3.263
133,11.00,3.262
135,11.00,3.261
137,11.00,3.261
139,11.00,3.260
141,11.00,3.260
143,11.00,3.260
145,11.00,3.260
147,11.00,3.260
149,11.00,3.260
151,11.00,3.260
153,11.00,3.260
155,11.00,3.260
157,11.00,3.260
159,11.00,3.260
161,11.00,3.260
163,11.00,3.260
165,11.00,3.260
167,11.00,3.260
169,11.00,3.260
171,11.00,3.260
173,11.00,3.260
175,11.00,3.260
177,11.00,3.260
179,11.00,3.260
181,11.00,3.260
183,11.00,3.260
185,11.00,3.259
187,11.00,3.260
189,11.00,3.259
191,11.00,3.260
193,11.00,3.259
195,11.00,3.260
197,11.00,3.259
199,11.00,3.259
201,11.00,3.259
203,11.00,3.259
205,11.00,3.259
207,11.00,3.259
209,11.00,3.259
211,11.00,3.259
213,11.00,3.259
215,11.00,3.259
217,11.00,3.259
219,11.00,3.259
221,11.00,3.259
223,11.00,3.259
225,11.00,3.259
227,11.00,3.259
229,11.00,3.259
231,11.00,3.259
233,11.00,3.259
235,11.00,3.259
237,11.00,3.259
239,11.00,3.259
241,11.00,3.259
243,11.00,3.259
245,11.00,3.259
247,11.00,3.259
249,11.00,3.259
251,11.00,3.259
253,11.00,3.259
255,11.00,3.259
257,11.00,3.259
259,11.00,3.259
261,11.00,3.259
263,11.00,3.259
265,11.00,3.259
267,11.00,3.259
269,11.00,3.259
271,11.00,3.259
273,11.00,3.259
275,11.00,3.259
277,11.00,3.259
279,11.00,3.259
281,11.00,3.259
283,11.00,3.259
285,11.00,3.259
287,11.00,3.259
289,11.00,3.259
291,11.00,3.259
293,11.00,3.259
295,11.00,3.259
297,11.00,3.259
299,11.00,3.259
301,11.00,3.259
303,11.00,3.259
305,11.00,3.259
307,11.00,3.259
309,11.00,3.259
311,11.00,3.259
313,11.00,3.259
315,11.00,3.258
317,11.00,3.258
319,11.00,3.258
321,11.00,3.258
323,11.00,3.258
325,11.00,3.258
327,11.00,3.258
329,11.00,3.258
331,11.00,3.258
333,11.00,3.258
335,11.00,3.258
337,11.00,3.258
339,11.00,3.258
341,11.00,3.258
343,11.00,3.258
345,11.00,3.258
347,11.00,3.258
349,11.00,3.258
351,11.00,3.258
353,11.00,3.258
355,11.00,3.257
357,11.00,3.258
359,11.00,3.257
361,11.00,3.257
363,11.00,3.257
365,11.00,3.257
367,11.00,3.257
369,11.00,3.257
371,11.00,3.257
373,11.00,3.257
375,11.00,3.257
377,11.00,3.257
379,11.00,3.257
381,11.00,3.257
383,11.00,3.257
385,11.00,3.257
387,11.00,3.257
389,11.00,3.257
391,11.00,3.256
393,11.00,3.257
395,11.00,3.256
397,11.00,3.256
399,11.00,3.256
401,11.00,3.256
403,11.00,3.256
405,11.00,3.256
407,11.00,3.256
409,11.00,3.256
411,11.00,3.256
413,11.00,3.256
415,11.00,3.256
417,11.00,3.256
419,11.00,3.256
421,11.00,3.256
423,11.00,3.256
425,11.00,3.256
427,11.00,3.256
429,11.00,3.256
431,11.00,3.256
433,11.00,3.256
435,11.00,3.256
437,11.00,3.256
439,11.00,3.256
441,11.00,3.256
443,11.00,3.256
445,11.00,3.256
447,11.00,3.256
449,11.00,3.256
451,11.00,3.256
453,11.00,3.256
455,11.00,3.256
457,11.00,3.256
459,11.00,3.256
461,11.00,3.256
463,11.00,3.256
465,11.00,3.256
467,11.00,3.256
469,11.00,3.256
471,11.00,3.256
473,11.00,3.255
475,11.00,3.256
477,11.00,3.255
479,11.00,3.256
481,11.00,3.256
483,11.00,3.256
485,11.00,3.256
487,11.00,3.256
489,11.00,3.255
491,11.00,3.255
493,11.00,3.255
495,11.00,3.255
497,11.00,3.255
499,11.00,3.255
501,11.00,3.255
503,11.00,3.255
505,11.00,3.255
507,11.00,3.255
509,11.00,3.255
511,11.00,3.255
513,11.00,3.254
515,11.00,3.255
517,11.00,3.254
519,11.00,3.254
521,11.00,3.254
523,11.00,3.254
525,11.00,3.254
527,11.00,3.254
529,11.00,3.254
531,11.00,3.254
533,11.00,3.254
535,11.00,3.254
537,11.00,3.254
539,11.00,3.254
541,11.00,3.254
543,11.00,3.254
545,11.00,3.254
547,11.00,3.254
549,11.00,3.253
551,11.00,3.254
553,11.00,3.253
555,11.00,3.253
557,11.00,3.253
559,11.00,3.253
561,11.00,3.253
563,11.00,3.253
565,11.00,3.253
567,11.00,3.253
569,11.00,3.253
571,11.00,3.253
573,11.00,3.253
575,11.00,3.253
577,11.00,3.253
579,11.00,3.253
581,11.00,3.253
583,11.00,3.253
585,11.00,3.253
587,11.00,3.253
589,11.00,3.253
591,11.00,3.253
593,11.00,3.253
595,11.00,3.253
597,11.00,3.253
599,11.00,3.253
601,11.00,3.253
603,11.00,3.253
605,11.00,3.253
607,11.00,3.253
609,11.00,3.253
611,11.00,3.253
613,11.00,3.253
615,11.00,3.253
617,11.00,3.253
619,11.00,3.253
621,11.00,3.253
623,11.00,3.253
625,11.00,3.253
627,11.00,3.253
629,11.00,3.253
631,11.00,3.253
633,11.00,3.253
635,11.00,3.253
637,11.00,3.253
639,11.00,3.253
641,11.00,3.253
643,11.00,3.253
645,11.00,3.253
647,11.00,3.253
649,11.00,3.253
651,11.00,3.253
653,11.00,3.253
655,11.00,3.253
657,11.00,3.253
659,11.00,3.253
661,11.00,3.253
663,11.00,3.253
665,11.00,3.253
667,11.00,3.253
669,11.00,3.253
671,11.00,3.253
673,11.00,3.253
675,11.00,3.253
677,11.00,3.253
679,11.00,3.253
681,11.00,3.253
683,11.00,3.253
685,11.00,3.253
687,11.00,3.253
689,11.00,3.253
691,11.00,3.253
693,11.00,3.253
695,11.00,3.253
697,11.00,3.253
699,11.00,3.253
701,11.00,3.253
703,11.00,3.253
705,11.00,3.252
707,11.00,3.252
709,11.00,3.252
711,11.00,3.252
713,11.00,3.253
715,11.00,3.252
717,11.00,3.252
718,11.00,3.252
718,11.00,3.252
720,0.00,3.281
722,0.00,3.282
724,0.00,3.282
726,0.00,3.282
728,0.00,3.288
730,0.00,3.288
732,0.00,3.289
734,0.00,3.289
736,0.00,3.289
738,0.00,3.289
740,0.00,3.289
742,0.00,3.289
744,0.00,3.292
746,0.00,3.295
748,0.00,3.296
750,0.00,3.296
752,0.00,3.296
754,0.00,3.297
756,0.00,3.297
758,0.00,3.297
760,0.00,3.297
762,0.00,3.297
764,0.00,3.297
766,0.00,3.297
768,0.00,3.297
770,0.00,3.297
772,0.00,3.297
774,0.00,3.297
776,0.00,3.297
778,0.00,3.298
780,0.00,3.301
782,0.00,3.302
784,0.00,3.303
786,0.00,3.303
788,0.00,3.303
790,0.00,3.303
792,0.00,3.303
794,0.00,3.303
796,0.00,3.303
798,0.00,3.303
800,0.00,3.303
802,0.00,3.303
804,0.00,3.303
806,0.00,3.304
808,0.00,3.304
810,0.00,3.304
812,0.00,3.304
814,0.00,3.304
816,0.00,3.304
818,0.00,3.304
820,0.00,3.304
822,0.00,3.304
824,0.00,3.304
826,0.00,3.304
