-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,C-CV,20.41,68.03
*1-2,Wait,0,0
*1-3,D-CC,20.66,66.35
*1-4,Wait,0,0
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,2.866
0,0.00,2.866
1,6.60,2.888
3,6.60,2.895
5,6.60,2.896
7,6.60,2.898
9,6.60,2.903
11,6.60,2.903
13,6.60,2.909
15,6.60,2.910
17,6.60,2.910
19,6.60,2.916
21,6.60,2.917
23,6.60,2.917
25,6.60,2.923
27,6.60,2.925
29,6.60,2.925
31,6.60,2.925
33,6.60,2.931
35,6.60,2.932
37,6.60,2.932
39,6.60,2.936
41,6.60,2.938
43,6.60,2.939
45,6.60,2.939
47,6.60,2.941
49,6.60,2.946
51,6.60,2.947
53,6.60,2.947
55,6.60,2.949
57,6.60,2.953
59,6.60,2.954
61,6.60,2.954
63,6.60,2.954
65,6.60,2.960
67,6.60,2.961
69,6.60,2.961
71,6.60,2.961
73,6.60,2.963
75,6.60,2.968
77,6.60,2.968
79,6.60,2.968
81,6.60,2.968
83,6.60,2.972
85,6.60,2.975
87,6.60,2.975
89,6.60,2.976
91,6.60,2.976
93,6.60,2.981
95,6.60,2.982
97,6.60,2.983
99,6.60,2.983
101,6.60,2.983
103,6.60,2.987
105,6.60,2.989
107,6.60,2.990
109,6.60,2.990
111,6.60,2.990
113,6.60,2.991
115,6.60,2.997
117,6.60,2.997
119,6.60,2.998
121,6.60,2.998
123,6.60,2.998
125,6.60,2.999
127,6.60,3.004
129,6.60,3.005
131,6.60,3.005
133,6.60,3.005
135,6.60,3.005
137,6.60,3.009
139,6.60,3.011
141,6.60,3.012
143,6.60,3.012
145,6.60,3.012
147,6.60,3.012
149,6.60,3.015
151,6.60,3.019
153,6.60,3.019
155,6.60,3.020
157,6.60,3.020
159,6.60,3.020
161,6.60,3.022
163,6.60,3.026
165,6.60,3.026
167,6.60,3.027
169,6.60,3.027
171,6.60,3.027
173,6.60,3.027
175,6.60,3.029
177,6.60,3.033
179,6.60,3.033
181,6.60,3.034
183,6.60,3.034
185,6.60,3.034
187,6.60,3.036
189,6.60,3.040
191,6.60,3.040
193,6.60,3.040
195,6.60,3.041
197,6.60,3.041
199,6.60,3.041
201,6.60,3.041
203,6.60,3.047
205,6.60,3.048
