-----------EB Tester Software-----------
Device:No Device
Mode:
Begin Volt:
Cutoff Volt:
Capacity:21.05Ah
Energy:71.94Wh
Avg Volt:
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,2.625
0,0.00,2.619
1,20.00,2.699
3,20.00,2.727
5,20.00,2.745
7,20.00,2.764
9,20.00,2.779
11,20.00,2.794
13,20.00,2.804
15,20.00,2.815
17,20.00,2.828
19,20.00,2.837
21,20.00,2.845
23,20.00,2.858
25,20.00,2.866
27,20.00,2.874
29,20.00,2.881
31,20.00,2.888
33,20.00,2.896
35,20.00,2.903
37,20.00,2.910
39,20.00,2.917
41,20.00,2.925
43,20.00,2.931
45,20.00,2.938
47,20.00,2.940
49,20.00,2.947
51,20.00,2.954
53,20.00,2.961
55,20.00,2.966
57,20.00,2.968
59,20.00,2.976
61,20.00,2.982
63,20.00,2.983
65,20.00,2.990
67,20.00,2.997
69,20.00,2.998
71,20.00,3.005
73,20.00,3.010
75,20.00,3.012
77,20.00,3.019
79,20.00,3.020
81,20.00,3.027
83,20.00,3.027
85,20.00,3.034
87,20.00,3.038
89,20.00,3.041
91,20.00,3.047
93,20.00,3.049
95,20.00,3.055
97,20.00,3.056
99,20.00,3.059
101,20.00,3.063
103,20.00,3.065
105,20.00,3.071
107,20.00,3.071
109,20.00,3.078
111,20.00,3.078
113,20.00,3.084
115,20.00,3.085
117,20.00,3.087
119,20.00,3.092
121,20.00,3.092
123,20.00,3.099
125,20.00,3.100
127,20.00,3.104
129,20.00,3.107
131,20.00,3.107
133,20.00,3.113
135,20.00,3.114
137,20.00,3.115
139,20.00,3.122
141,20.00,3.122
143,20.00,3.125
145,20.00,3.129
147,20.00,3.129
149,20.00,3.134
151,20.00,3.136
153,20.00,3.136
155,20.00,3.143
157,20.00,3.143
159,20.00,3.143
161,20.00,3.144
163,20.00,3.151
165,20.00,3.151
167,20.00,3.154
169,20.00,3.158
171,20.00,3.158
173,20.00,3.158
175,20.00,3.164
177,20.00,3.165
179,20.00,3.165
181,20.00,3.172
183,20.00,3.173
185,20.00,3.173
187,20.00,3.173
189,20.00,3.179
191,20.00,3.180
193,20.00,3.180
195,20.00,3.184
197,20.00,3.186
199,20.00,3.187
201,20.00,3.187
203,20.00,3.193
205,20.00,3.194
207,20.00,3.194
209,20.00,3.194
211,20.00,3.201
213,20.00,3.202
215,20.00,3.202
217,20.00,3.202
219,20.00,3.206
221,20.00,3.209
223,20.00,3.209
225,20.00,3.209
227,20.00,3.215
229,20.00,3.215
231,20.00,3.216
233,20.00,3.216
235,20.00,3.219
237,20.00,3.223
239,20.00,3.224
241,20.00,3.224
243,20.00,3.224
245,20.00,3.230
247,20.00,3.231
249,20.00,3.231
251,20.00,3.231
253,20.00,3.231
255,20.00,3.237
257,20.00,3.238
259,20.00,3.238
261,20.00,3.238
263,20.00,3.241
265,20.00,3.245
267,20.00,3.245
269,20.00,3.245
271,20.00,3.245
273,20.00,3.246
275,20.00,3.252
277,20.00,3.253
279,20.00,3.253
281,20.00,3.253
283,20.00,3.254
285,20.00,3.259
287,20.00,3.259
289,20.00,3.260
291,20.00,3.260
293,20.00,3.260
295,20.00,3.260
297,20.00,3.263
299,20.00,3.266
301,20.00,3.267
303,20.00,3.267
305,20.00,3.267
307,20.00,3.273
309,20.00,3.274
311,20.00,3.275
313,20.00,3.275
315,20.00,3.275
317,20.00,3.275
319,20.00,3.276
321,20.00,3.281
323,20.00,3.282
325,20.00,3.282
327,20.00,3.282
329,20.00,3.282
331,20.00,3.282
333,20.00,3.285
335,20.00,3.288
337,20.00,3.288
339,20.00,3.289
341,20.00,3.289
343,20.00,3.289
345,20.00,3.289
347,20.00,3.289
349,20.00,3.289
351,20.00,3.291
353,20.00,3.295
355,20.00,3.296
357,20.00,3.296
359,20.00,3.297
361,20.00,3.297
363,20.00,3.297
365,20.00,3.297
367,20.00,3.297
369,20.00,3.297
371,20.00,3.297
373,20.00,3.297
375,20.00,3.297
377,20.00,3.297
379,20.00,3.297
381,20.00,3.297
383,20.00,3.297
385,20.00,3.298
387,20.00,3.300
389,20.00,3.301
391,20.00,3.302
393,20.00,3.303
395,20.00,3.303
397,20.00,3.303
399,20.00,3.303
401,20.00,3.303
403,20.00,3.303
405,20.00,3.303
407,20.00,3.303
409,20.00,3.303
411,20.00,3.303
413,20.00,3.303
415,20.00,3.303
417,20.00,3.304
419,20.00,3.304
421,20.00,3.304
423,20.00,3.304
425,20.00,3.304
427,20.00,3.304
429,20.00,3.304
431,20.00,3.304
433,20.00,3.304
435,20.00,3.304
437,20.00,3.304
439,20.00,3.304
441,20.00,3.304
443,20.00,3.304
445,20.00,3.304
447,20.00,3.304
449,20.00,3.304
451,20.00,3.304
453,20.00,3.304
455,20.00,3.304
457,20.00,3.304
459,20.00,3.304
461,20.00,3.304
463,20.00,3.304
465,20.00,3.304
467,20.00,3.304
469,20.00,3.304
471,20.00,3.304
473,20.00,3.304
475,20.00,3.304
477,20.00,3.304
479,20.00,3.304
481,20.00,3.304
483,20.00,3.304
485,20.00,3.304
487,20.00,3.304
489,20.00,3.304
491,20.00,3.304
493,20.00,3.304
495,20.00,3.304
497,20.00,3.304
499,20.00,3.304
501,20.00,3.304
503,20.00,3.305
505,20.00,3.305
507,20.00,3.306
509,20.00,3.307
511,20.00,3.307
513,20.00,3.307
515,20.00,3.308
517,20.00,3.309
519,20.00,3.309
521,20.00,3.310
523,20.00,3.310
525,20.00,3.310
527,20.00,3.310
529,20.00,3.310
531,20.00,3.310
533,20.00,3.310
535,20.00,3.310
537,20.00,3.310
539,20.00,3.310
541,20.00,3.310
543,20.00,3.310
545,20.00,3.311
547,20.00,3.310
549,20.00,3.310
551,20.00,3.311
553,20.00,3.311
555,20.00,3.311
557,20.00,3.311
559,20.00,3.311
561,20.00,3.311
563,20.00,3.311
565,20.00,3.311
567,20.00,3.311
569,20.00,3.311
571,20.00,3.311
573,20.00,3.311
575,20.00,3.311
577,20.00,3.311
579,20.00,3.311
581,20.00,3.311
583,20.00,3.311
585,20.00,3.311
587,20.00,3.311
589,20.00,3.311
591,20.00,3.311
593,20.00,3.311
595,20.00,3.311
597,20.00,3.311
599,20.00,3.311
601,20.00,3.311
603,20.00,3.311
605,20.00,3.312
607,20.00,3.312
609,20.00,3.313
611,20.00,3.314
613,20.00,3.315
615,20.00,3.316
617,20.00,3.317
619,20.00,3.317
621,20.00,3.317
623,20.00,3.317
625,20.00,3.317
627,20.00,3.317
629,20.00,3.317
631,20.00,3.317
633,20.00,3.317
635,20.00,3.317
637,20.00,3.317
639,20.00,3.318
641,20.00,3.318
643,20.00,3.318
645,20.00,3.318
647,20.00,3.318
649,20.00,3.318
651,20.00,3.318
653,20.00,3.318
655,20.00,3.318
657,20.00,3.318
659,20.00,3.318
661,20.00,3.318
663,20.00,3.318
665,20.00,3.318
667,20.00,3.318
669,20.00,3.318
671,20.00,3.318
673,20.00,3.318
675,20.00,3.318
677,20.00,3.318
679,20.00,3.318
681,20.00,3.318
683,20.00,3.318
685,20.00,3.318
687,20.00,3.318
689,20.00,3.319
691,20.00,3.320
693,20.00,3.322
695,20.00,3.323
697,20.00,3.324
699,20.00,3.325
701,20.00,3.325
703,20.00,3.325
705,20.00,3.325
707,20.00,3.325
709,20.00,3.325
711,20.00,3.326
713,20.00,3.326
715,20.00,3.326
717,20.00,3.326
719,20.00,3.326
721,20.00,3.326
723,20.00,3.326
725,20.00,3.326
727,20.00,3.326
729,20.00,3.326
731,20.00,3.326
733,20.00,3.326
735,20.00,3.326
737,20.00,3.326
739,20.00,3.326
741,20.00,3.326
743,20.00,3.326
745,20.00,3.326
747,20.00,3.326
749,20.00,3.327
751,20.00,3.328
753,20.00,3.329
755,20.00,3.330
757,20.00,3.331
759,20.00,3.332
761,20.00,3.332
763,20.00,3.332
765,20.00,3.332
767,20.00,3.332
769,20.00,3.332
771,20.00,3.333
773,20.00,3.333
775,20.00,3.333
777,20.00,3.333
779,20.00,3.333
