-----------EB Tester Software-----------
Device:EBC-A40L
Mode:C-CV  20.00A  3.65V
Begin Volt:2.703V
Cutoff Volt:3.650V
Capacity:20.71Ah
Energy:70.73Wh
Avg Volt:3.42V
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,2.703
0,0.00,2.702
1,20.00,2.778
3,20.00,2.800
5,20.00,2.815
7,20.00,2.830
9,20.00,2.844
11,20.00,2.852
13,20.00,2.866
15,20.00,2.874
17,20.00,2.881
19,20.00,2.889
21,20.00,2.901
23,20.00,2.909
25,20.00,2.917
27,20.00,2.925
29,20.00,2.931
31,20.00,2.938
33,20.00,2.943
35,20.00,2.948
37,20.00,2.954
39,20.00,2.961
41,20.00,2.968
43,20.00,2.975
45,20.00,2.977
47,20.00,2.983
49,20.00,2.990
51,20.00,2.997
53,20.00,2.998
55,20.00,3.005
57,20.00,3.011
59,20.00,3.012
61,20.00,3.020
63,20.00,3.022
65,20.00,3.027
67,20.00,3.033
69,20.00,3.034
71,20.00,3.041
73,20.00,3.041
75,20.00,3.049
77,20.00,3.049
79,20.00,3.056
81,20.00,3.056
83,20.00,3.063
85,20.00,3.065
87,20.00,3.071
89,20.00,3.071
91,20.00,3.077
93,20.00,3.078
95,20.00,3.084
97,20.00,3.085
99,20.00,3.091
101,20.00,3.092
103,20.00,3.094
105,20.00,3.100
107,20.00,3.100
109,20.00,3.106
111,20.00,3.107
113,20.00,3.112
115,20.00,3.114
117,20.00,3.114
119,20.00,3.121
121,20.00,3.122
123,20.00,3.122
125,20.00,3.129
127,20.00,3.129
129,20.00,3.133
131,20.00,3.135
133,20.00,3.136
135,20.00,3.141
137,20.00,3.143
139,20.00,3.143
141,20.00,3.144
143,20.00,3.151
145,20.00,3.151
147,20.00,3.155
149,20.00,3.158
151,20.00,3.158
153,20.00,3.159
155,20.00,3.164
157,20.00,3.165
159,20.00,3.165
161,20.00,3.172
163,20.00,3.173
165,20.00,3.173
167,20.00,3.176
169,20.00,3.180
171,20.00,3.180
173,20.00,3.180
175,20.00,3.186
177,20.00,3.187
179,20.00,3.187
181,20.00,3.189
183,20.00,3.194
185,20.00,3.194
187,20.00,3.194
