-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,D-CC,1.111,3.169
*1-2,Wait,0,0
*1-3,C-CV,20.63,70.03
*1-4,Wait,0,0
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,3.063
0,0.00,3.063
2,7.33,3.041
3,7.33,3.038
5,7.33,3.034
7,7.33,3.033
10,7.33,3.031
11,7.33,3.028
13,7.33,3.027
15,7.33,3.027
17,7.33,3.026
19,7.33,3.026
21,7.33,3.023
23,7.33,3.020
25,7.33,3.020
27,7.33,3.020
29,7.33,3.019
31,7.33,3.019
33,7.33,3.015
35,7.33,3.013
38,7.33,3.012
40,7.33,3.012
41,7.33,3.011
43,7.33,3.011
46,7.33,3.010
47,7.33,3.008
49,7.33,3.005
51,7.33,3.005
53,7.33,3.005
55,7.33,3.005
57,7.33,3.004
59,7.33,3.002
61,7.33,2.999
63,7.33,2.998
65,7.33,2.998
67,7.33,2.998
69,7.33,2.998
71,7.33,2.997
74,7.33,2.996
76,7.33,2.993
77,7.33,2.991
79,7.33,2.990
81,7.33,2.990
83,7.33,2.990
85,7.33,2.989
87,7.33,2.989
89,7.33,2.986
91,7.33,2.984
93,7.33,2.983
95,7.33,2.983
97,7.33,2.983
99,7.33,2.982
101,7.33,2.982
103,7.33,2.979
105,7.33,2.978
107,7.33,2.976
109,7.33,2.976
111,7.33,2.976
113,7.33,2.975
115,7.33,2.975
117,7.33,2.971
119,7.33,2.969
121,7.33,2.968
123,7.33,2.968
125,7.33,2.968
127,7.33,2.968
129,7.33,2.968
131,7.33,2.965
133,7.33,2.963
135,7.33,2.961
137,7.33,2.961
139,7.33,2.960
141,7.33,2.960
143,7.33,2.960
145,7.33,2.958
147,7.33,2.955
149,7.33,2.954
151,7.33,2.954
153,7.33,2.954
155,7.33,2.953
157,7.33,2.952
159,7.33,2.949
161,7.33,2.948
163,7.33,2.947
165,7.33,2.947
167,7.33,2.947
169,7.33,2.946
171,7.33,2.944
173,7.33,2.941
175,7.33,2.939
177,7.33,2.939
179,7.33,2.939
181,7.33,2.938
183,7.33,2.938
185,7.33,2.936
187,7.33,2.933
189,7.33,2.932
191,7.33,2.932
193,7.33,2.931
195,7.33,2.931
197,7.33,2.928
199,7.33,2.926
201,7.33,2.925
203,7.33,2.925
205,7.33,2.925
207,7.33,2.924
209,7.33,2.922
211,7.33,2.919
213,7.33,2.917
215,7.33,2.917
217,7.33,2.917
219,7.33,2.917
221,7.33,2.914
223,7.33,2.911
225,7.33,2.910
227,7.33,2.910
229,7.33,2.909
231,7.33,2.909
233,7.33,2.907
235,7.33,2.905
237,7.33,2.903
239,7.33,2.903
241,7.33,2.902
243,7.33,2.902
245,7.33,2.898
247,7.33,2.896
249,7.33,2.896
251,7.33,2.896
253,7.33,2.895
255,7.33,2.894
257,7.33,2.890
259,7.33,2.888
261,7.33,2.888
263,7.33,2.887
265,7.33,2.887
267,7.33,2.884
269,7.33,2.881
271,7.33,2.881
273,7.33,2.880
275,7.33,2.880
277,7.33,2.877
279,7.33,2.875
281,7.33,2.874
283,7.33,2.874
285,7.33,2.873
287,7.33,2.870
289,7.33,2.866
291,7.33,2.866
293,7.33,2.866
295,7.33,2.866
297,7.33,2.863
299,7.33,2.859
301,7.33,2.859
303,7.33,2.859
305,7.33,2.858
307,7.33,2.854
309,7.33,2.852
311,7.33,2.852
313,7.33,2.851
315,7.33,2.850
317,7.33,2.846
319,7.33,2.845
321,7.33,2.845
323,7.33,2.844
325,7.33,2.841
327,7.33,2.837
329,7.33,2.837
331,7.33,2.836
333,7.33,2.835
335,7.33,2.832
337,7.33,2.830
339,7.33,2.829
341,7.33,2.829
343,7.33,2.825
345,7.33,2.823
347,7.33,2.823
349,7.33,2.822
351,7.33,2.818
353,7.33,2.815
355,7.33,2.815
357,7.33,2.814
359,7.33,2.810
361,7.33,2.808
363,7.33,2.808
365,7.33,2.807
367,7.33,2.804
369,7.33,2.801
371,7.33,2.800
373,7.33,2.796
375,7.33,2.794
377,7.33,2.794
379,7.33,2.793
381,7.33,2.791
383,7.33,2.786
385,7.33,2.786
387,7.33,2.785
389,7.33,2.780
391,7.33,2.779
393,7.33,2.778
395,7.33,2.776
397,7.33,2.772
399,7.33,2.772
401,7.33,2.770
403,7.33,2.764
405,7.33,2.764
407,7.33,2.763
409,7.33,2.759
411,7.33,2.757
413,7.33,2.756
415,7.33,2.753
417,7.33,2.750
419,7.33,2.750
421,7.33,2.746
423,7.33,2.742
425,7.33,2.742
427,7.33,2.738
429,7.33,2.735
431,7.33,2.734
433,7.33,2.730
435,7.33,2.728
437,7.33,2.727
439,7.33,2.722
441,7.33,2.721
443,7.33,2.720
445,7.33,2.714
447,7.33,2.713
449,7.33,2.710
451,7.33,2.706
453,7.33,2.705
455,7.33,2.701
457,7.33,2.699
459,7.33,2.696
461,7.33,2.691
463,7.33,2.691
465,7.33,2.686
467,7.33,2.683
469,7.33,2.679
471,7.33,2.677
473,7.33,2.675
475,7.33,2.670
477,7.33,2.669
479,7.33,2.662
481,7.33,2.661
483,7.33,2.655
485,7.33,2.654
487,7.33,2.648
489,7.33,2.647
491,7.33,2.640
493,7.33,2.640
495,7.33,2.633
497,7.33,2.630
499,7.33,2.626
501,7.33,2.620
503,7.33,2.618
505,7.33,2.611
507,7.33,2.609
509,7.33,2.604
511,7.33,2.597
513,7.33,2.594
515,7.33,2.589
517,7.33,2.582
519,7.33,2.578
521,7.33,2.574
523,7.33,2.568
525,7.33,2.560
527,7.33,2.557
529,7.33,2.552
531,7.33,2.546
533,7.33,2.538
535,7.33,2.531
537,7.33,2.525
539,7.33,2.519
541,7.33,2.515
543,7.33,2.507
545,7.33,2.500
545,7.33,2.500
546,0.00,2.524
548,0.00,2.536
550,0.00,2.538
552,0.00,2.545
554,0.00,2.546
556,0.00,2.549
558,0.00,2.553
560,0.00,2.553
562,0.00,2.553
564,0.00,2.559
566,0.00,2.560
568,0.00,2.560
570,0.00,2.560
572,0.00,2.560
574,0.00,2.563
576,0.00,2.567
578,0.00,2.568
580,0.00,2.568
582,0.00,2.568
584,0.00,2.568
586,0.00,2.571
588,0.00,2.574
590,0.00,2.574
592,0.00,2.575
594,0.00,2.575
596,0.00,2.575
598,0.00,2.575
600,0.00,2.575
602,0.00,2.575
604,0.00,2.578
606,0.00,2.581
608,0.00,2.581
610,0.00,2.582
612,0.00,2.582
614,0.00,2.582
616,0.00,2.582
618,0.00,2.582
620,0.00,2.582
622,0.00,2.582
624,0.00,2.582
626,0.00,2.584
628,0.00,2.588
630,0.00,2.589
632,0.00,2.589
634,0.00,2.589
636,0.00,2.589
638,0.00,2.589
640,0.00,2.589
642,0.00,2.589
644,0.00,2.589
646,0.00,2.589
648,0.00,2.589
650,0.00,2.589
652,0.00,2.589
654,0.00,2.589
656,0.00,2.591
658,0.00,2.594
660,0.00,2.596
662,0.00,2.596
664,0.00,2.596
666,0.00,2.596
668,0.00,2.596
670,0.00,2.597
672,0.00,2.597
674,0.00,2.597
676,0.00,2.597
678,0.00,2.597
680,0.00,2.597
682,0.00,2.597
684,0.00,2.597
686,0.00,2.597
688,0.00,2.597
690,0.00,2.598
692,0.00,2.599
694,0.00,2.601
696,0.00,2.603
698,0.00,2.603
700,0.00,2.603
702,0.00,2.603
704,0.00,2.603
706,0.00,2.604
708,0.00,2.604
710,0.00,2.604
712,0.00,2.604
714,0.00,2.604
716,0.00,2.604
718,0.00,2.604
720,0.00,2.604
722,0.00,2.604
724,0.00,2.604
726,0.00,2.604
728,0.00,2.604
730,0.00,2.604
732,0.00,2.604
734,0.00,2.605
736,0.00,2.607
738,0.00,2.609
740,0.00,2.609
742,0.00,2.610
744,0.00,2.610
746,0.00,2.610
748,0.00,2.610
750,0.00,2.610
752,0.00,2.611
754,0.00,2.611
756,0.00,2.611
758,0.00,2.611
760,0.00,2.611
762,0.00,2.611
764,0.00,2.611
766,0.00,2.611
768,0.00,2.611
770,0.00,2.611
772,0.00,2.611
774,0.00,2.611
776,0.00,2.611
778,0.00,2.611
780,0.00,2.611
782,0.00,2.611
784,0.00,2.612
786,0.00,2.613
788,0.00,2.615
790,0.00,2.617
792,0.00,2.618
794,0.00,2.618
796,0.00,2.618
798,0.00,2.618
800,0.00,2.618
802,0.00,2.618
804,0.00,2.619
806,0.00,2.619
808,0.00,2.619
810,0.00,2.619
812,0.00,2.619
814,0.00,2.619
816,0.00,2.619
818,0.00,2.619
820,0.00,2.619
822,0.00,2.619
824,0.00,2.619
826,0.00,2.619
828,0.00,2.619
830,0.00,2.619
832,0.00,2.619
834,0.00,2.619
836,0.00,2.619
838,0.00,2.619
840,0.00,2.619
842,0.00,2.619
844,0.00,2.619
846,0.00,2.619
848,0.00,2.620
850,0.00,2.621
852,0.00,2.623
854,0.00,2.624
856,0.00,2.625
858,0.00,2.625
860,0.00,2.625
862,0.00,2.625
864,0.00,2.626
866,0.00,2.625
868,0.00,2.626
870,0.00,2.626
872,0.00,2.626
874,0.00,2.626
876,0.00,2.626
878,0.00,2.626
880,0.00,2.626
882,0.00,2.626
884,0.00,2.626
886,0.00,2.626
888,0.00,2.626
890,0.00,2.626
892,0.00,2.626
894,0.00,2.626
896,0.00,2.626
898,0.00,2.626
900,0.00,2.626
902,0.00,2.626
904,0.00,2.626
906,0.00,2.626
908,0.00,2.626
910,0.00,2.627
912,0.00,2.628
914,0.00,2.629
916,0.00,2.630
918,0.00,2.631
920,0.00,2.632
922,0.00,2.632
924,0.00,2.632
926,0.00,2.632
