-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,D-CC,1.946,6.393
*1-2,Wait,0,0
*1-3,D-CC,0.244,0.794
*1-4,Wait,0,0
*2-1,D-CC,1.947,6.333
*2-2,Wait,0,0
*2-3,D-CC,0.245,0.791
*2-4,Wait,0,0
*3-1,D-CC,1.946,6.307
*3-2,Wait,0,0
*3-3,D-CC,0.243,0.783
*3-4,Wait,0,0
*4-1,D-CC,1.947,6.300
*4-2,Wait,0,0
*4-3,D-CC,0.246,0.792
*4-4,Wait,0,0
*5-1,D-CC,1.946,6.282
*5-2,Wait,0,0
*5-3,D-CC,0.246,0.791
*5-4,Wait,0,0
*6-1,D-CC,1.947,6.260
*6-2,Wait,0,0
*6-3,D-CC,0.246,0.785
*6-4,Wait,0,0
*7-1,D-CC,1.947,6.215
*7-2,Wait,0,0
*7-3,D-CC,0.245,0.775
*7-4,Wait,0,0
*8-1,D-CC,1.948,6.152
*8-2,Wait,0,0
*8-3,D-CC,0.244,0.763
*8-4,Wait,0,0
*9-1,D-CC,1.947,6.056
*9-2,Wait,0,0
*9-3,D-CC,0.244,0.731
*9-4,Wait,0,0
*10-1,D-CC,0.958,2.713
*10-2,Wait,0,0
*10-3,D-CC,0.084,0.218
*10-4,Wait,0,0
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,3.507
0,0.00,3.507
1,7.31,3.471
3,7.31,3.451
5,7.31,3.441
7,7.31,3.432
9,7.31,3.422
11,7.31,3.420
13,7.31,3.412
15,7.31,3.406
17,7.31,3.404
19,7.31,3.399
21,7.31,3.395
23,7.31,3.391
25,7.31,3.389
27,7.31,3.384
29,7.31,3.381
32,7.31,3.377
34,7.31,3.377
35,7.31,3.374
37,7.31,3.369
39,7.31,3.369
41,7.31,3.366
43,7.31,3.362
45,7.31,3.362
47,7.31,3.360
49,7.31,3.355
51,7.31,3.355
53,7.31,3.354
55,7.31,3.350
57,7.31,3.348
59,7.31,3.348
61,7.31,3.347
63,7.31,3.342
65,7.31,3.340
67,7.31,3.340
69,7.31,3.339
71,7.31,3.337
73,7.31,3.333
75,7.31,3.333
77,7.31,3.332
79,7.31,3.332
81,7.31,3.328
83,7.31,3.326
85,7.31,3.326
87,7.31,3.325
89,7.31,3.324
91,7.31,3.320
93,7.31,3.318
95,7.31,3.318
97,7.31,3.318
99,7.31,3.317
101,7.31,3.317
103,7.31,3.314
105,7.31,3.312
107,7.31,3.311
109,7.31,3.311
111,7.31,3.310
113,7.31,3.310
115,7.31,3.308
117,7.31,3.306
119,7.31,3.304
121,7.31,3.304
123,7.31,3.304
125,7.31,3.304
127,7.31,3.303
129,7.31,3.303
131,7.31,3.301
133,7.31,3.298
