-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,D-CC,19.59,61.88
*1-2,Wait,0,0
*1-3,D-CC,0.194,0.513
*1-4,Wait,0,0
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,3.298
0,0.00,3.301
1,15.00,3.262
3,15.00,3.259
5,15.00,3.256
7,15.00,3.256
9,15.00,3.254
11,15.00,3.252
13,15.00,3.250
15,15.00,3.249
17,15.00,3.248
19,15.00,3.247
21,15.00,3.246
23,15.00,3.245
25,15.00,3.245
27,15.00,3.245
29,15.00,3.243
31,15.00,3.243
33,15.00,3.242
35,15.00,3.242
37,15.00,3.241
39,15.00,3.241
41,15.00,3.240
43,15.00,3.240
45,15.00,3.240
47,15.00,3.239
49,15.00,3.239
51,15.00,3.238
53,15.00,3.238
55,15.00,3.238
57,15.00,3.238
59,15.00,3.237
61,15.00,3.237
63,15.00,3.237
65,15.00,3.236
67,15.00,3.236
69,15.00,3.236
71,15.00,3.235
73,15.00,3.235
75,15.00,3.235
77,15.00,3.235
79,15.00,3.235
81,15.00,3.235
83,15.00,3.235
85,15.00,3.235
87,15.00,3.235
89,15.00,3.235
91,15.00,3.235
93,15.00,3.235
95,15.00,3.234
97,15.00,3.234
99,15.00,3.234
101,15.00,3.234
103,15.00,3.234
105,15.00,3.234
107,15.00,3.234
109,15.00,3.234
111,15.00,3.234
113,15.00,3.234
115,15.00,3.234
117,15.00,3.234
119,15.00,3.234
121,15.00,3.234
123,15.00,3.233
125,15.00,3.234
127,15.00,3.234
129,15.00,3.233
131,15.00,3.233
133,15.00,3.233
135,15.00,3.233
137,15.00,3.233
139,15.00,3.233
141,15.00,3.233
143,15.00,3.233
145,15.00,3.233
147,15.00,3.233
149,15.00,3.233
151,15.00,3.233
153,15.00,3.233
155,15.00,3.233
157,15.00,3.233
159,15.00,3.233
161,15.00,3.233
163,15.00,3.233
165,15.00,3.232
167,15.00,3.232
169,15.00,3.232
171,15.00,3.232
173,15.00,3.232
175,15.00,3.232
177,15.00,3.232
179,15.00,3.232
181,15.00,3.232
